episode,method,seed,team_size,communication_mode,step,coverage,coverage_delta,known_free_cells,newly_explored_free_cells,step_path_length,cumulative_team_path_length,waiting_robots,deadlocked_robots,deadlock_recoveries,preferred_vertex_conflicts,preferred_swap_conflicts,preferred_proximity_conflicts,preferred_conflict_step,actual_collision_pairs,actual_collision_step,conflict_avoided_step,minimum_preferred_pairwise_distance,minimum_proposed_pairwise_distance,minimum_actual_pairwise_distance,dynamic_safety_blocks,static_safety_blocks,contact_pairs,communication_packets_delta,communication_bytes_delta,map_packets_delta,map_bytes_delta,resolver_backtracking_nodes,escape_robot_ids,used_serial_fallback,step_runtime_ms,communication_payload_bytes_delta,communication_map_packets_delta,communication_region_packets_delta,communication_motion_packets_delta,communication_map_bytes_delta,communication_region_bytes_delta,communication_motion_bytes_delta,communication_payload_cells_delta,communication_cells_received_delta,communication_encode_ms_delta,communication_decode_apply_ms_delta,communication_exchange_wall_ms_delta,communication_delivery_events_delta,communication_conflicts_delta,communication_local_map_sync_ms_delta,communication_header_bytes_delta,communication_index_bytes_delta,communication_value_bytes_delta,communication_raw_equivalent_bytes_delta,communication_dense_grid_reference_bytes_delta,communication_deferred_cells_delta,communication_packet_losses_delta
44,LiteDARE-MapOnly,4402122,8,compressed,1,0.663660543595711,0.09363311445432632,15969,2253,57.65685415267944,57.65685415267944,0,0,0,0,0,0,False,0,False,False,8.9442720413208,8.9442720413208,8.9442720413208,0,0,1,2,21303,2,21303,0,[],False,3166.161261033267,21303,2,0,0,21303,0,0,4235,4235,0.3107581287622452,0.2007531002163887,0.5826577544212341,2,0,1.0895333252847195,128,16940,4235,21303,500128,0,0
44,LiteDARE-MapOnly,4402122,8,compressed,2,0.705386085944643,0.041725542348932,16973,1004,57.91483449935913,115.57168865203857,0,0,0,0,0,0,False,0,False,False,5.656854152679443,5.656854152679443,5.656854152679443,0,0,0,0,0,0,0,0,[],False,3166.177520994097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0176422074437141,0,0,0,0,0,0,0
44,LiteDARE-MapOnly,4402122,8,compressed,3,0.7283683816806583,0.02298229573601529,17526,553,36.9442720413208,152.51596069335938,1,0,0,1,0,1,True,0,False,True,0.0,0.0,4.0,0,1,1,2,328,2,328,0,[],False,3107.9156319610775,328,2,0,0,328,0,0,40,40,0.27169473469257355,0.07531978189945221,0.37087174132466316,2,0,1.0121441446244717,128,160,40,31528,500128,0,0
44,LiteDARE-MapOnly,4402122,8,compressed,4,0.764608095752639,0.03623971407198068,18398,872,36.97056245803833,189.4865231513977,0,0,0,0,0,0,False,0,False,False,4.0,4.0,4.0,0,0,1,2,128,2,128,0,[],False,3081.65787672624,128,2,0,0,128,0,0,0,0,0.24873437359929085,0.024738721549510956,0.292033888399601,2,0,1.0371729731559753,128,0,0,31578,500128,0,0
44,LiteDARE-MapOnly,4402122,8,compressed,5,0.8672595794198321,0.10265148366719312,20868,2470,49.91483449935913,239.40135765075684,0,0,0,0,0,0,False,0,False,False,4.0,4.0,4.0,0,0,2,4,48726,4,48726,0,[],False,3124.2335750721395,48726,4,0,0,48726,0,0,9694,9694,0.563416164368391,0.30507054179906845,0.9852508082985878,4,0,1.0204599238932133,256,38776,9694,80176,1000256,0,0
44,LiteDARE-MapOnly,4402122,8,compressed,6,0.9078214612251683,0.04056188180533615,21844,976,37.65685415267944,277.0582118034363,0,0,0,0,0,0,False,0,False,False,4.0,4.0,4.0,0,0,2,4,396,4,396,0,[],False,2808.0307920463383,396,4,0,0,396,0,0,28,28,0.508368480950594,0.10570231825113297,0.6461539305746555,4,0,0.9895022958517075,256,112,28,98026,1000256,0,0
44,LiteDARE-MapOnly,4402122,8,compressed,7,0.9286426730945059,0.020821211869337608,22345,501,51.80337858200073,328.861590385437,0,0,0,0,0,0,False,0,False,False,4.0,4.0,4.0,0,0,2,4,991,4,991,0,[],False,3076.92838832736,991,4,0,0,991,0,0,147,147,0.4870425909757614,0.08054496720433235,0.5994504317641258,4,0,1.0919487103819847,256,588,147,98901,1000256,0,0
44,LiteDARE-MapOnly,4402122,8,compressed,8,0.9641343196741751,0.03549164657966919,23199,854,58.14652442932129,387.0081148147583,0,0,0,0,0,0,False,0,False,False,4.0,4.0,4.0,0,0,2,4,3361,4,3361,0,[],False,3138.7923848815262,3361,4,0,0,3361,0,0,621,621,0.5181627348065376,0.12691784650087357,0.6840298883616924,4,0,1.1050845496356487,256,2484,621,102741,1000256,0,0
44,LiteDARE-MapOnly,4402122,8,compressed,9,0.9729864516665281,0.008852131992353018,23412,213,39.31370830535889,426.3218231201172,0,0,0,0,0,0,False,0,False,False,4.0,4.0,4.0,0,0,2,4,7576,4,7576,0,[],False,3193.21496039629,7576,4,0,0,7576,0,0,1464,1464,0.5519255064427853,0.18621981143951416,0.7936474867165089,4,0,1.1214050464332104,256,5856,1464,113166,1000256,0,0
44,LiteDARE-MapOnly,4402122,8,compressed,10,0.9785138392486078,0.0055273875820797125,23545,133,45.20225238800049,471.5240755081177,1,0,0,1,0,1,True,0,False,True,0.0,0.0,5.656854152679443,0,1,3,6,128249,6,128249,0,[],False,3229.405701160431,128249,6,0,0,128249,0,0,25573,25573,1.0401923209428787,0.9958907030522823,2.354830503463745,6,0,1.135470811277628,384,102292,25573,203039,1500384,0,0
