Scope,Delta AUC,Delta Final,Delta R95,Delta Overlap,Delta Coll.,Delta Deadlock
Overall,-4.3657825453823464e-05,0.00020416321407038814,0.0,-0.08290070134329201,-0.049720238095238095,-0.571875
N=2,0.0021619094702388384,0.0001988992182243171,0.0,-0.054899571456806184,0.0,0.1775
N=4,-0.0016592420460182825,0.00028120668431508706,0.0,-0.08724642724349368,-0.05958333333333333,-0.125
N=6,-0.0017547693023547118,0.00020241524891936923,0.0,-0.09001911651005039,-0.07483333333333334,-0.8325
N=8,0.001077470576318862,0.00013413170482277914,0.0,-0.0994376901628178,-0.06446428571428571,-1.5075
