team_size,method_role_normalised,coverage_auc,trajectory_overlap_ratio,actual_collision_pairs,deadlock_duration_robot_steps,team_travel_distance_recorded,method
2,full,0.680119608476852,0.12835174556684645,0.0,0.1775,741.764978991747,Full
2,map_only,0.6779576990066132,0.1832513170236526,0.0,0.0,784.0399805855751,Map-only
4,full,0.7495424068725235,0.18588911072283254,0.0,0.03,820.8013075470924,Full
4,map_only,0.7512016489185419,0.27313553796632617,0.3575,0.155,955.686967152357,Map-only
6,full,0.8007773311491362,0.21020739875367384,0.0,0.0,870.2436352181435,Full
6,map_only,0.8025321004514909,0.3002265152637242,1.1225,0.8325,1025.6302110767365,Map-only
8,full,0.8393622923421391,0.20102457774650864,0.0,0.0025,846.9091378593445,Full
8,map_only,0.8382848217658203,0.30046226790932645,1.805,1.51,1017.183624329567,Map-only
