Model,Runs,Success (%),Final cov. (%),Cov. AUC,Reach@95 (%),Steps@90,Steps@95,Steps@99,Params (M)
DARE-L6,400,98.5,99.70402028203425,0.6046188124046934,99.5,82.015,91.57537688442211,97.88578680203045,
LiteDARE-L4,400,99.5,99.72458058923486,0.6023874486240134,99.75,80.9825,89.69423558897243,95.83037974683545,
LiteDARE-L2,400,99.0,99.73158695480352,0.6035952652622619,100.0,81.075,90.3775,96.77721518987342,
