model_name,map_index,mean_final_coverage
DARE-L6,0,0.9982367645745915
DARE-L6,1,0.9966748768472906
DARE-L6,2,0.9955620723362659
DARE-L6,3,0.9979822889810559
DARE-L6,4,0.9995868679078991
DARE-L6,5,0.9997364755486956
DARE-L6,6,0.9972094992494516
DARE-L6,7,0.9985421105753056
DARE-L6,8,0.9950256489973575
DARE-L6,9,0.9981957434273511
DARE-L6,10,0.996027787673673
DARE-L6,11,0.9970154708247045
DARE-L6,12,0.9953584717480534
DARE-L6,13,1.0
DARE-L6,14,0.9965359755389558
DARE-L6,15,0.9993739565943238
DARE-L6,16,0.9977622560952772
DARE-L6,17,0.9983126893430994
DARE-L6,18,0.9975287017446498
DARE-L6,19,1.0
DARE-L6,20,0.9980494257107457
DARE-L6,21,0.9924271037921136
DARE-L6,22,0.9993007123410286
DARE-L6,23,0.9972331854986369
DARE-L6,24,0.9956902592852137
DARE-L6,25,0.9963994020272735
DARE-L6,26,1.0
DARE-L6,27,0.9980084569788953
DARE-L6,28,0.9992521796228067
DARE-L6,29,0.9955208738073652
DARE-L6,30,0.993063041134949
DARE-L6,31,0.99709194635845
DARE-L6,32,0.9878542884629616
DARE-L6,33,0.995279221254483
DARE-L6,34,0.9999736333274741
DARE-L6,35,0.9961741923294918
DARE-L6,36,0.9963078118927322
DARE-L6,37,0.997259239172542
DARE-L6,38,0.9964478398747992
DARE-L6,39,0.9987112906328139
DARE-L6,40,0.9983279589155619
DARE-L6,41,0.9980147598290967
DARE-L6,42,0.9966565173822555
DARE-L6,43,0.9951362226816303
DARE-L6,44,0.9980986617903749
DARE-L6,45,0.9966731254341389
DARE-L6,46,0.9982434448108023
DARE-L6,47,0.9985432448181137
DARE-L6,48,0.983900583024154
DARE-L6,49,0.9978849407783418
DARE-L6,50,0.9955237741456167
DARE-L6,51,0.9979596506616834
DARE-L6,52,0.9970241877409243
DARE-L6,53,0.9949243630573248
DARE-L6,54,0.9975701649011685
DARE-L6,55,0.9995065102683824
DARE-L6,56,0.9966235227912212
DARE-L6,57,0.9956202265899301
DARE-L6,58,0.9962376237623762
DARE-L6,59,0.9967833510334123
DARE-L6,60,0.9978600405679513
DARE-L6,61,0.979053716307148
DARE-L6,62,0.9987367683399107
DARE-L6,63,0.9976325945967452
DARE-L6,64,0.9964592185287012
DARE-L6,65,0.9992242393979385
DARE-L6,66,0.9946095109985758
DARE-L6,67,0.995409496004917
DARE-L6,68,0.994476958257432
DARE-L6,69,0.9992932187201529
DARE-L6,70,0.997759009009009
DARE-L6,71,0.9973983408636398
