team_size,map_index,metric,trials,mean_paired_difference,median_paired_difference
2,36,coverage_auc,4,0.0,0.0
2,37,coverage_auc,4,0.0,0.0
2,38,coverage_auc,4,0.0,0.0
2,39,coverage_auc,4,0.0,0.0
2,40,coverage_auc,4,0.0,0.0
2,41,coverage_auc,4,0.0,0.0
2,42,coverage_auc,4,0.0,0.0
2,43,coverage_auc,4,0.0,0.0
2,44,coverage_auc,4,0.0,0.0
2,45,coverage_auc,4,0.0,0.0
2,46,coverage_auc,4,0.0,0.0
2,47,coverage_auc,4,0.0,0.0
2,48,coverage_auc,4,0.0,0.0
2,49,coverage_auc,4,0.0,0.0
2,50,coverage_auc,4,0.0,0.0
2,51,coverage_auc,4,0.0,0.0
2,52,coverage_auc,4,0.0,0.0
2,53,coverage_auc,4,0.0,0.0
2,54,coverage_auc,4,0.0,0.0
2,55,coverage_auc,4,0.0,0.0
2,56,coverage_auc,4,0.0,0.0
2,57,coverage_auc,4,0.0,0.0
2,58,coverage_auc,4,0.0,0.0
2,59,coverage_auc,4,0.0,0.0
2,60,coverage_auc,4,0.0,0.0
2,61,coverage_auc,4,0.0,0.0
2,62,coverage_auc,4,0.0,0.0
2,63,coverage_auc,4,0.0,0.0
2,64,coverage_auc,4,0.0,0.0
2,65,coverage_auc,4,0.0,0.0
2,66,coverage_auc,4,0.0,0.0
2,67,coverage_auc,4,0.0,0.0
2,68,coverage_auc,4,0.0,0.0
2,69,coverage_auc,4,0.0,0.0
2,70,coverage_auc,4,0.0,0.0
2,71,coverage_auc,4,0.0,0.0
2,72,coverage_auc,4,0.0,0.0
2,73,coverage_auc,4,0.0,0.0
2,74,coverage_auc,4,0.0,0.0
2,75,coverage_auc,4,0.0,0.0
2,76,coverage_auc,4,0.0,0.0
2,77,coverage_auc,4,0.0,0.0
2,78,coverage_auc,4,0.0,0.0
2,79,coverage_auc,4,0.0,0.0
2,80,coverage_auc,4,0.0,0.0
2,81,coverage_auc,4,0.0,0.0
2,82,coverage_auc,4,0.0,0.0
2,83,coverage_auc,4,0.0,0.0
2,84,coverage_auc,4,0.0,0.0
2,85,coverage_auc,4,0.0,0.0
2,86,coverage_auc,4,0.0,0.0
2,87,coverage_auc,4,0.0,0.0
2,88,coverage_auc,4,0.0,0.0
2,89,coverage_auc,4,0.0,0.0
2,90,coverage_auc,4,0.0,0.0
2,91,coverage_auc,4,0.0,0.0
2,92,coverage_auc,4,0.0,0.0
2,93,coverage_auc,4,0.0,0.0
2,94,coverage_auc,4,0.0,0.0
2,95,coverage_auc,4,0.0,0.0
2,96,coverage_auc,4,0.0,0.0
2,97,coverage_auc,4,0.0,0.0
2,98,coverage_auc,4,0.0,0.0
2,99,coverage_auc,4,0.0,0.0
2,0,mean_robot_map_free_iou,4,0.0,0.0
2,1,mean_robot_map_free_iou,4,0.0,0.0
2,2,mean_robot_map_free_iou,4,0.0,0.0
2,3,mean_robot_map_free_iou,4,0.0,0.0
2,4,mean_robot_map_free_iou,4,0.0,0.0
2,5,mean_robot_map_free_iou,4,0.0,0.0
2,6,mean_robot_map_free_iou,4,0.0,0.0
2,7,mean_robot_map_free_iou,4,0.0,0.0
2,8,mean_robot_map_free_iou,4,0.0,0.0
2,9,mean_robot_map_free_iou,4,0.0,0.0
2,10,mean_robot_map_free_iou,4,0.0,0.0
2,11,mean_robot_map_free_iou,4,0.0,0.0
2,12,mean_robot_map_free_iou,4,0.0,0.0
2,13,mean_robot_map_free_iou,4,0.0,0.0
2,14,mean_robot_map_free_iou,4,0.0,0.0
2,15,mean_robot_map_free_iou,4,0.0,0.0
2,16,mean_robot_map_free_iou,4,0.0,0.0
2,17,mean_robot_map_free_iou,4,0.0,0.0
2,18,mean_robot_map_free_iou,4,0.0,0.0
2,19,mean_robot_map_free_iou,4,0.0,0.0
2,20,mean_robot_map_free_iou,4,0.0,0.0
2,21,mean_robot_map_free_iou,4,0.0,0.0
2,22,mean_robot_map_free_iou,4,0.0,0.0
2,23,mean_robot_map_free_iou,4,0.0,0.0
2,24,mean_robot_map_free_iou,4,0.0,0.0
2,25,mean_robot_map_free_iou,4,0.0,0.0
2,26,mean_robot_map_free_iou,4,0.0,0.0
2,27,mean_robot_map_free_iou,4,0.0,0.0
2,28,mean_robot_map_free_iou,4,0.0,0.0
2,29,mean_robot_map_free_iou,4,0.0,0.0
2,30,mean_robot_map_free_iou,4,0.0,0.0
2,31,mean_robot_map_free_iou,4,0.0,0.0
2,32,mean_robot_map_free_iou,4,0.0,0.0
2,33,mean_robot_map_free_iou,4,0.0,0.0
2,34,mean_robot_map_free_iou,4,0.0,0.0
2,35,mean_robot_map_free_iou,4,0.0,0.0
2,36,mean_robot_map_free_iou,4,0.0,0.0
2,37,mean_robot_map_free_iou,4,0.0,0.0
2,38,mean_robot_map_free_iou,4,0.0,0.0
2,39,mean_robot_map_free_iou,4,0.0,0.0
2,40,mean_robot_map_free_iou,4,0.0,0.0
2,41,mean_robot_map_free_iou,4,0.0,0.0
2,42,mean_robot_map_free_iou,4,0.0,0.0
2,43,mean_robot_map_free_iou,4,0.0,0.0
2,44,mean_robot_map_free_iou,4,0.0,0.0
2,45,mean_robot_map_free_iou,4,0.0,0.0
2,46,mean_robot_map_free_iou,4,0.0,0.0
2,47,mean_robot_map_free_iou,4,0.0,0.0
2,48,mean_robot_map_free_iou,4,0.0,0.0
2,49,mean_robot_map_free_iou,4,0.0,0.0
2,50,mean_robot_map_free_iou,4,0.0,0.0
2,51,mean_robot_map_free_iou,4,0.0,0.0
2,52,mean_robot_map_free_iou,4,0.0,0.0
2,53,mean_robot_map_free_iou,4,0.0,0.0
2,54,mean_robot_map_free_iou,4,0.0,0.0
2,55,mean_robot_map_free_iou,4,0.0,0.0
2,56,mean_robot_map_free_iou,4,0.0,0.0
2,57,mean_robot_map_free_iou,4,0.0,0.0
2,58,mean_robot_map_free_iou,4,0.0,0.0
2,59,mean_robot_map_free_iou,4,0.0,0.0
2,60,mean_robot_map_free_iou,4,0.0,0.0
2,61,mean_robot_map_free_iou,4,0.0,0.0
2,62,mean_robot_map_free_iou,4,0.0,0.0
2,63,mean_robot_map_free_iou,4,0.0,0.0
2,64,mean_robot_map_free_iou,4,0.0,0.0
2,65,mean_robot_map_free_iou,4,0.0,0.0
2,66,mean_robot_map_free_iou,4,0.0,0.0
2,67,mean_robot_map_free_iou,4,0.0,0.0
2,68,mean_robot_map_free_iou,4,0.0,0.0
2,69,mean_robot_map_free_iou,4,0.0,0.0
2,70,mean_robot_map_free_iou,4,0.0,0.0
2,71,mean_robot_map_free_iou,4,0.0,0.0
2,72,mean_robot_map_free_iou,4,0.0,0.0
2,73,mean_robot_map_free_iou,4,0.0,0.0
2,74,mean_robot_map_free_iou,4,0.0,0.0
2,75,mean_robot_map_free_iou,4,0.0,0.0
2,76,mean_robot_map_free_iou,4,0.0,0.0
2,77,mean_robot_map_free_iou,4,0.0,0.0
2,78,mean_robot_map_free_iou,4,0.0,0.0
2,79,mean_robot_map_free_iou,4,0.0,0.0
2,80,mean_robot_map_free_iou,4,0.0,0.0
2,81,mean_robot_map_free_iou,4,0.0,0.0
2,82,mean_robot_map_free_iou,4,0.0,0.0
2,83,mean_robot_map_free_iou,4,0.0,0.0
2,84,mean_robot_map_free_iou,4,0.0,0.0
2,85,mean_robot_map_free_iou,4,0.0,0.0
2,86,mean_robot_map_free_iou,4,0.0,0.0
2,87,mean_robot_map_free_iou,4,0.0,0.0
2,88,mean_robot_map_free_iou,4,0.0,0.0
