descriptor,team_size,method_role_normalised,stratum,metric,n,mean,median
map_obstacle_ratio,4,full,medium,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,4,full,medium,steps_to_95_conditional,132,23.363636363636363,22.0
map_obstacle_ratio,4,full,medium,trajectory_overlap_ratio,132,0.19125985381925142,0.1904761904761904
map_obstacle_ratio,4,full,medium,team_travel_distance_recorded,132,867.3036085078211,855.4107582569122
map_obstacle_ratio,4,full,medium,team_path_per_robot,132,216.82590212695527,213.85268956422806
map_obstacle_ratio,4,full,medium,actual_collision_pairs,132,0.0,0.0
map_obstacle_ratio,4,full,medium,collisions_per_robot_pair,132,0.0,0.0
map_obstacle_ratio,4,full,medium,deadlock_duration_robot_steps,132,0.06060606060606061,0.0
map_obstacle_ratio,4,full,high,final_coverage,132,0.9967862602905395,0.9982087811380489
map_obstacle_ratio,4,full,high,coverage_auc,132,0.7471354604686113,0.7488598410282588
map_obstacle_ratio,4,full,high,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,4,full,high,steps_to_95_conditional,132,21.204545454545453,20.0
map_obstacle_ratio,4,full,high,trajectory_overlap_ratio,132,0.18610561335734943,0.1726266496381439
map_obstacle_ratio,4,full,high,team_travel_distance_recorded,132,756.8855825915481,724.4815366268158
map_obstacle_ratio,4,full,high,team_path_per_robot,132,189.22139564788702,181.12038415670395
map_obstacle_ratio,4,full,high,actual_collision_pairs,132,0.0,0.0
map_obstacle_ratio,4,full,high,collisions_per_robot_pair,132,0.0,0.0
map_obstacle_ratio,4,full,high,deadlock_duration_robot_steps,132,0.007575757575757576,0.0
map_obstacle_ratio,4,map_only,low,final_coverage,136,0.9974598816990067,0.9990410776260272
map_obstacle_ratio,4,map_only,low,coverage_auc,136,0.7521507133205008,0.7535564157626042
map_obstacle_ratio,4,map_only,low,reached_95_rate,136,1.0,1.0
map_obstacle_ratio,4,map_only,low,steps_to_95_conditional,136,37.35294117647059,36.0
map_obstacle_ratio,4,map_only,low,trajectory_overlap_ratio,136,0.27581289860234726,0.2735317779565567
map_obstacle_ratio,4,map_only,low,team_travel_distance_recorded,136,1010.1209315587492,972.2109897136688
map_obstacle_ratio,4,map_only,low,team_path_per_robot,136,252.5302328896873,243.0527474284172
