team_size,map_index,metric,trials,mean_paired_difference,median_paired_difference
2,0,final_coverage,4,0.0014061244531737849,0.003303276493170193
2,1,final_coverage,4,0.002111189303307476,0.0023574947220266207
2,2,final_coverage,4,-0.0001466275659823546,0.0015053763440860957
2,3,final_coverage,4,0.0017935209057280133,0.001233045622687945
2,4,final_coverage,4,0.0013128419815650327,0.0004223128052586178
2,5,final_coverage,4,0.0006023416029816986,-0.0002635244513043977
2,6,final_coverage,4,-0.0043397097879218915,-0.0032908664023708623
2,7,final_coverage,4,0.0007850173825277307,0.0
2,8,final_coverage,4,-0.003633607958961532,-0.0036141769003574797
2,9,final_coverage,4,0.001997569776861302,0.0023197584505486035
2,10,final_coverage,4,-0.002057356608478861,-0.000374064837905308
2,11,final_coverage,4,-0.00019287773581835865,-0.0003857554716367173
2,12,final_coverage,4,0.002531742682880034,0.0015535693735854728
2,13,final_coverage,4,-0.00026959991372810244,0.00012581329307298494
2,14,final_coverage,4,0.0023416031272981974,0.0023416031272981974
2,15,final_coverage,4,0.0007208984671421559,0.0005691303687964111
2,16,final_coverage,4,-0.002106662671810061,-0.00033706602748961867
2,17,final_coverage,4,0.0015722667484756314,0.0018407025348007866
2,18,final_coverage,4,-0.0027140924699109448,-0.002046408379868969
2,19,final_coverage,4,-0.0008616975441619323,-0.0023892522815399664
2,20,final_coverage,4,0.0018333724006295016,0.0030472491042425887
2,21,final_coverage,4,0.0010197915092914067,0.00033993050309721884
2,22,final_coverage,4,-0.0018740909260432925,-0.00177152873606079
2,23,final_coverage,4,0.001190137120071516,-8.137689709902807e-05
2,24,final_coverage,4,0.00497547302032228,0.006184302733006186
2,25,final_coverage,4,0.00024611682345215824,0.0004740027710931072
2,26,final_coverage,4,0.001193295345223111,0.0005180196847480167
2,27,final_coverage,4,-0.00378487559935059,-0.004322875372824386
2,28,final_coverage,4,0.002553532995294233,0.0019333892678656261
2,29,final_coverage,4,0.0024824072874843894,0.0023097180848767884
2,30,final_coverage,4,0.0006258910254182126,6.954344726883832e-05
2,31,final_coverage,4,0.0004723271838186216,-0.0008890864636585949
2,32,final_coverage,4,-0.00016650632724046766,-0.0013690520239769133
2,33,final_coverage,4,0.0024061333528507534,0.0014272121788772019
2,34,final_coverage,4,-0.0005185445596765925,0.00038671119704680734
2,35,final_coverage,4,-0.0009163045531834779,0.0
2,36,final_coverage,4,-0.0009327633113097034,-0.0012436844150796045
2,37,final_coverage,4,-0.0021596807933678963,-0.0032734175253738007
2,38,final_coverage,4,-0.0004221407685021661,-0.0008442815370043322
2,39,final_coverage,4,-0.0022119638391998875,-0.0024235429890364646
2,40,final_coverage,4,-0.0007763047892034303,-0.0006568732831721547
2,41,final_coverage,4,0.004466790384532376,0.003387855509041471
2,42,final_coverage,4,0.0001541663454867337,0.00042395745008860786
2,43,final_coverage,4,8.306261075022303e-05,-0.0005906674542232038
2,44,final_coverage,4,-0.0013298977641094112,0.0
2,45,final_coverage,4,0.0030709611377179313,0.002778488648411459
2,46,final_coverage,4,-0.0014032815198619097,-0.0028065630397238195
2,47,final_coverage,4,0.0028406726046782405,0.0019978356780153694
2,48,final_coverage,4,0.0016563186189142431,0.0009653971378815185
2,49,final_coverage,4,-0.0010528294792253867,-0.0020492573792065816
2,50,final_coverage,4,-9.28677563150071e-06,0.0
2,51,final_coverage,4,-0.004471606727432215,-0.004786240036611933
2,52,final_coverage,4,0.0023509975854618947,0.0007624857033929899
2,53,final_coverage,4,-0.0012214099594673455,-0.002062825709322591
2,54,final_coverage,4,0.000646135925157415,0.0005096283353354103
2,55,final_coverage,4,0.0016987434992217776,0.0007971757203051877
2,56,final_coverage,4,0.005973767369377964,0.006320072724124548
2,57,final_coverage,4,-0.002027002569949643,-0.0025880479241321974
2,58,final_coverage,4,0.004712871287128689,0.004792079207920796
2,59,final_coverage,4,-0.0003165591046482563,-0.0008577730577566389
2,60,final_coverage,4,-0.0023935091277891007,-0.00022312373225158444
2,61,final_coverage,4,0.003691313877033059,0.004691044718729498
2,62,final_coverage,4,-0.0012632316600892923,0.0
2,63,final_coverage,4,-0.0013826443321529602,-0.0011936497831536164
2,64,final_coverage,4,0.0011455469465966317,0.0
2,65,final_coverage,4,0.003165459927952391,0.0032457110247173793
2,66,final_coverage,4,-0.0005538851084032625,-0.0015825288811521232
2,67,final_coverage,4,-0.0003649354640442859,-0.0001920712968653815
2,68,final_coverage,4,0.001792566179605326,0.0018022557265222061
2,69,final_coverage,4,-0.001098376313276056,-0.0031518624641833637
2,70,final_coverage,4,-3.3783783783797317e-05,0.0005630630630630851
2,71,final_coverage,4,0.003268276423968569,0.0048329753351603055
2,72,final_coverage,4,-0.0008570257480345622,-0.0019189924358163912
2,73,final_coverage,4,-0.002867816308818577,-0.003113090072072777
2,74,final_coverage,4,-0.0004758098283277057,-0.0005329070077270126
2,75,final_coverage,4,-1.6941686714344595e-05,-1.6941686714289084e-05
2,76,final_coverage,4,2.9418686749799194e-05,0.00056876127716321
2,77,final_coverage,4,0.0002746121103941179,-0.000514897706988815
2,78,final_coverage,4,-0.004926345827549111,-0.0052830479716182155
2,79,final_coverage,4,-0.0006990750699074899,-0.0010934251093425718
2,80,final_coverage,4,0.0014418710263397472,0.0028837420526794943
2,81,final_coverage,4,0.00015864202427220975,0.0008130403743951131
2,82,final_coverage,4,0.00285752008751744,0.0033384888151193892
2,83,final_coverage,4,0.0019499676689298806,0.0018388296152602734
2,84,final_coverage,4,-0.002347873331263628,-0.00034927041291521466
2,85,final_coverage,4,0.002334593572778848,0.0022873345935727762
2,86,final_coverage,4,-0.0011211192027596462,-0.0019931008049061116
2,87,final_coverage,4,-0.0008662508662509172,-0.002750346500346612
2,88,final_coverage,4,-0.00025653655132790165,-0.0005541189508680988
2,89,final_coverage,4,-0.0018490840806316133,0.0
2,90,final_coverage,4,-0.0010253781081774327,-0.0009338264913758554
2,91,final_coverage,4,-0.0033584622530279107,-0.0033584622530278274
2,92,final_coverage,4,0.004457693443591287,0.004485380980507991
2,93,final_coverage,4,-0.001307176087940981,0.00010292725101901379
2,94,final_coverage,4,-0.001013142445934062,-0.0009089876150435994
2,95,final_coverage,4,0.0029587616200499878,0.0031123305622670627
2,96,final_coverage,4,0.0008512449457331039,0.0
2,97,final_coverage,4,-0.00031894769257836963,0.0
2,98,final_coverage,4,-0.00015286779992659816,0.0
2,99,final_coverage,4,-0.001848148280418599,-0.0015535159458591186
2,0,coverage_auc,4,0.018281907127057517,-0.005475667550734087
2,1,coverage_auc,4,-0.04600279621455616,-0.05277190625452266
2,2,coverage_auc,4,0.03251945966242481,0.030604965819204966
2,3,coverage_auc,4,-0.010209900333364136,-0.005131028654541792
2,4,coverage_auc,4,-0.01580335218947146,-0.020712892616176648
2,5,coverage_auc,4,-0.044582613991016984,-0.03848884652487189
2,6,coverage_auc,4,-0.005050783454485425,0.030204945481966283
2,7,coverage_auc,4,0.05437525603498691,0.06454931824507143
2,8,coverage_auc,4,0.024457286646201504,0.03400696478662402
2,9,coverage_auc,4,0.03053963097826015,0.03804590772309291
2,10,coverage_auc,4,-0.010093030963897603,-0.01902254367766698
2,11,coverage_auc,4,-0.04892026144173667,-0.049339294266075806
2,12,coverage_auc,4,-0.010630862803780061,-0.05438219317731402
2,13,coverage_auc,4,0.04790887259457416,0.033611609494437256
2,14,coverage_auc,4,0.0032617563191007226,0.007895862891676153
2,15,coverage_auc,4,0.016987539396497275,0.006199371653962726
2,16,coverage_auc,4,0.01375394913053754,-0.018563405922478404
2,17,coverage_auc,4,0.08142441435488704,0.08534757132994814
2,18,coverage_auc,4,-0.00022746108771840023,-0.01165073389850424
2,19,coverage_auc,4,0.01125109020618173,0.009974875985385823
2,20,coverage_auc,4,-0.030367357610148443,-0.020550493110492507
2,21,coverage_auc,4,0.000596295557570875,0.004505177577753483
2,22,coverage_auc,4,-0.06072224875641763,-0.038069641518564734
2,23,coverage_auc,4,-0.024930482346963184,-0.007603051196738098
2,24,coverage_auc,4,0.012393235419199539,0.016504582744254037
2,25,coverage_auc,4,0.034353035101694296,0.004418430064651702
2,26,coverage_auc,4,0.0019828982111256555,0.022205571873613716
2,27,coverage_auc,4,0.015964629456903218,0.05298376070540445
2,28,coverage_auc,4,-0.021615623755012775,-0.022984870684238212
2,29,coverage_auc,4,0.04648188528312533,0.05380226425104023
2,30,coverage_auc,4,0.0070542262975601955,0.013107906773027755
2,31,coverage_auc,4,-0.006185809931025965,-0.013434439247038132
2,32,coverage_auc,4,0.03904252984705378,0.041223276351665894
2,33,coverage_auc,4,0.047231458679003885,0.02076001094860591
2,34,coverage_auc,4,0.012770034878392234,-0.018837784544055047
2,35,coverage_auc,4,-0.024216110496941445,0.0031043547008913763
2,36,coverage_auc,4,0.09364088873644563,0.10799378110409547
2,37,coverage_auc,4,0.06611105589930222,0.07159643733734938
2,38,coverage_auc,4,-0.002505753170438524,0.010796597194624724
2,39,coverage_auc,4,0.0015758028040414596,-0.018568801261320267
2,40,coverage_auc,4,-0.10378759312129332,-0.11434029431163084
2,41,coverage_auc,4,0.016574938136379974,-0.012127420083620721
2,42,coverage_auc,4,0.013295894764021793,0.031075707224111848
