Scope,Delta AUC,Delta Steps@95,Delta Overlap,Delta Coll.,Delta Deadlock
Overall,-4.3657825453823464e-05,-11.8925,-0.08290070134329201,-0.049720238095238095,-0.571875
N=2,0.0021619094702388384,-17.9,-0.054899571456806184,0.0,0.1775
N=4,-0.0016592420460182825,-13.1425,-0.08724642724349368,-0.05958333333333333,-0.125
N=6,-0.0017547693023547118,-9.3275,-0.09001911651005039,-0.07483333333333334,-0.8325
N=8,0.001077470576318862,-7.2,-0.0994376901628178,-0.06446428571428571,-1.5075
