team_size,method_role_normalised,metric,n,p10,median,p90,iqr
2,full,final_coverage,400,0.9922370890920489,0.9987993545712059,1.0,0.00405440659744194
2,full,coverage_auc,400,0.595565544161349,0.6789019182646892,0.7628424759702104,0.085536286306926
2,full,reached_95_rate,400,1.0,1.0,1.0,0.0
2,full,steps_to_95_conditional,400,28.0,40.0,57.0,16.0
2,full,trajectory_overlap_ratio,400,0.0,0.09790688575899839,0.2941176470588235,0.16102261711196056
2,full,team_travel_distance_recorded,400,517.3696727275849,723.7407369613647,976.5297591209413,229.45148754119873
2,full,team_path_per_robot,400,258.68483636379244,361.8703684806824,488.26487956047066,114.72574377059937
2,full,actual_collision_pairs,400,0.0,0.0,0.0,0.0
2,full,collisions_per_robot_pair,400,0.0,0.0,0.0,0.0
2,full,deadlock_duration_robot_steps,400,0.0,0.0,0.0,0.0
2,map_only,final_coverage,400,0.9917750579593662,0.999158622160679,1.0,0.005551902505216644
2,map_only,coverage_auc,400,0.5970955207580083,0.6777385098852449,0.7528180016285632,0.08858330494222977
2,map_only,reached_95_rate,400,1.0,1.0,1.0,0.0
2,map_only,steps_to_95_conditional,400,41.0,57.0,80.0,20.0
2,map_only,trajectory_overlap_ratio,400,0.012315930388219471,0.1724412584627638,0.3617021276595745,0.1872388934515592
2,map_only,team_travel_distance_recorded,400,569.7624068737031,764.0381529331207,1040.0325357437137,230.6615434885025
2,map_only,team_path_per_robot,400,284.88120343685154,382.01907646656036,520.0162678718568,115.33077174425125
2,map_only,actual_collision_pairs,400,0.0,0.0,0.0,0.0
2,map_only,collisions_per_robot_pair,400,0.0,0.0,0.0,0.0
2,map_only,deadlock_duration_robot_steps,400,0.0,0.0,0.0,0.0
4,full,final_coverage,400,0.9920325892506755,0.9985479000437953,1.0,0.005018635560832929
4,full,coverage_auc,400,0.6763583637276446,0.7492212308438784,0.8189182750331739,0.07318534581077107
4,full,reached_95_rate,400,1.0,1.0,1.0,0.0
4,full,steps_to_95_conditional,400,14.0,21.0,32.0,10.0
4,full,trajectory_overlap_ratio,400,0.05788819875776396,0.17990752416981926,0.3183636363636364,0.14089826713034
4,full,team_travel_distance_recorded,400,546.2366883277894,810.4752423763275,1101.0658273220063,307.81998217105865
4,full,team_path_per_robot,400,136.55917208194734,202.61881059408188,275.26645683050157,76.95499554276466
4,full,actual_collision_pairs,400,0.0,0.0,0.0,0.0
4,full,collisions_per_robot_pair,400,0.0,0.0,0.0,0.0
4,full,deadlock_duration_robot_steps,400,0.0,0.0,0.0,0.0
4,map_only,final_coverage,400,0.9916751248920599,0.9987256643812394,1.0,0.00620815145013387
4,map_only,coverage_auc,400,0.6705593977519057,0.7542656452692937,0.8276324024167858,0.08804876773943449
4,map_only,reached_95_rate,400,1.0,1.0,1.0,0.0
4,map_only,steps_to_95_conditional,400,21.0,33.0,52.0,16.0
4,map_only,trajectory_overlap_ratio,400,0.11376760062579995,0.27223320158102765,0.4285714285714285,0.17218411061937422
4,map_only,team_travel_distance_recorded,400,585.6378189086914,937.5660388469696,1335.9619000434875,408.715087890625
4,map_only,team_path_per_robot,400,146.40945472717286,234.3915097117424,333.9904750108719,102.17877197265625
4,map_only,actual_collision_pairs,400,0.0,0.0,1.0,0.0
4,map_only,collisions_per_robot_pair,400,0.0,0.0,0.16666666666666666,0.0
4,map_only,deadlock_duration_robot_steps,400,0.0,0.0,0.0,0.0
6,full,final_coverage,400,0.9921391850297309,0.9988111695029853,1.0,0.005026365226368235
6,full,coverage_auc,400,0.7476184450901106,0.8031535918487531,0.8555146229129359,0.057440285995762896
6,full,reached_95_rate,400,1.0,1.0,1.0,0.0
6,full,steps_to_95_conditional,400,8.900000000000006,14.0,23.0,7.0
6,full,trajectory_overlap_ratio,400,0.08203711886875828,0.2083333333333333,0.3537472283813747,0.13903143384721084
6,full,team_travel_distance_recorded,400,548.6651197910309,821.8259243965149,1248.24404168129,360.69537007808685
6,full,team_path_per_robot,400,91.44418663183849,136.97098739941916,208.0406736135483,60.11589501301448
6,full,actual_collision_pairs,400,0.0,0.0,0.0,0.0
6,full,collisions_per_robot_pair,400,0.0,0.0,0.0,0.0
6,full,deadlock_duration_robot_steps,400,0.0,0.0,0.0,0.0
6,map_only,final_coverage,400,0.991502293507071,0.9988399571046267,1.0,0.005563651753988763
6,map_only,coverage_auc,400,0.7355508707258582,0.8039857981408768,0.8650772078131166,0.07287473477170614
6,map_only,reached_95_rate,400,1.0,1.0,1.0,0.0
6,map_only,steps_to_95_conditional,400,13.0,22.0,39.0,15.0
6,map_only,trajectory_overlap_ratio,400,0.15229437229437232,0.29905718565512374,0.45257055682684977,0.15216238307147398
6,map_only,team_travel_distance_recorded,400,601.8499229431153,968.3531031608582,1502.1871875286104,498.9182928800583
6,map_only,team_path_per_robot,400,100.30832049051921,161.39218386014304,250.3645312547684,83.15304881334305
6,map_only,actual_collision_pairs,400,0.0,0.0,3.0,1.0
6,map_only,collisions_per_robot_pair,400,0.0,0.0,0.2,0.06666666666666667
6,map_only,deadlock_duration_robot_steps,400,0.0,0.0,1.0,0.0
8,full,final_coverage,400,0.9922045883916369,0.9989756759815307,1.0,0.005039338879187727
8,full,coverage_auc,400,0.7836585560360305,0.8416248517238809,0.8882688319306508,0.05711843124726079
8,full,reached_95_rate,400,1.0,1.0,1.0,0.0
8,full,steps_to_95_conditional,400,6.0,10.0,16.100000000000023,6.0
8,full,trajectory_overlap_ratio,400,0.06657894736842099,0.19159090909090903,0.35067873303167424,0.15338113822510085
8,full,team_travel_distance_recorded,400,520.6216629981994,810.6236720085144,1217.0083575248718,367.3894762992859
8,full,team_path_per_robot,400,65.07770787477493,101.3279590010643,152.12604469060898,45.923684537410736
8,full,actual_collision_pairs,400,0.0,0.0,0.0,0.0
8,full,collisions_per_robot_pair,400,0.0,0.0,0.0,0.0
8,full,deadlock_duration_robot_steps,400,0.0,0.0,0.0,0.0
8,map_only,final_coverage,400,0.9918091137286816,0.9989275062589849,1.0,0.005582728576284279
8,map_only,coverage_auc,400,0.7819798323219233,0.8417601583793468,0.891826162740864,0.06200985725858299
8,map_only,reached_95_rate,400,1.0,1.0,1.0,0.0
8,map_only,steps_to_95_conditional,400,9.0,15.5,29.0,12.0
8,map_only,trajectory_overlap_ratio,400,0.1428571428571428,0.30086137674282787,0.456559220389805,0.17902279093455561
8,map_only,team_travel_distance_recorded,400,567.8980165481568,952.7638802528381,1586.2846172809602,565.7667051553726
8,map_only,team_path_per_robot,400,70.9872520685196,119.09548503160477,198.28557716012003,70.72083814442158
8,map_only,actual_collision_pairs,400,0.0,0.0,4.0,2.0
8,map_only,collisions_per_robot_pair,400,0.0,0.0,0.14285714285714285,0.07142857142857142
8,map_only,deadlock_duration_robot_steps,400,0.0,0.0,2.0,0.0
