episode,method,seed,team_size,communication_mode,step,coverage,coverage_delta,known_free_cells,newly_explored_free_cells,step_path_length,cumulative_team_path_length,waiting_robots,deadlocked_robots,deadlock_recoveries,preferred_vertex_conflicts,preferred_swap_conflicts,preferred_proximity_conflicts,preferred_conflict_step,actual_collision_pairs,actual_collision_step,conflict_avoided_step,minimum_preferred_pairwise_distance,minimum_proposed_pairwise_distance,minimum_actual_pairwise_distance,dynamic_safety_blocks,static_safety_blocks,contact_pairs,communication_packets_delta,communication_bytes_delta,map_packets_delta,map_bytes_delta,resolver_backtracking_nodes,escape_robot_ids,used_serial_fallback,step_runtime_ms,communication_payload_bytes_delta,communication_map_packets_delta,communication_region_packets_delta,communication_motion_packets_delta,communication_map_bytes_delta,communication_region_bytes_delta,communication_motion_bytes_delta,communication_payload_cells_delta,communication_cells_received_delta,communication_encode_ms_delta,communication_decode_apply_ms_delta,communication_exchange_wall_ms_delta,communication_delivery_events_delta,communication_conflicts_delta,communication_local_map_sync_ms_delta,communication_header_bytes_delta,communication_index_bytes_delta,communication_value_bytes_delta,communication_raw_equivalent_bytes_delta,communication_dense_grid_reference_bytes_delta,communication_deferred_cells_delta,communication_packet_losses_delta,contact_detection_ms,map_local_sync_and_exchange_ms,observation_graph_refresh_ms,dynamic_region_update_ms,policy_inference_team_ms,candidate_generation_ms,motion_coordination_facade_ms,environment_step_ms,deadlock_state_update_ms,post_step_local_map_sync_ms,region_event_io_ms,metric_state_snapshot_ms,visualization_frame_ms,preferred_action_selection_ms,deadlock_priority_ms,deadlock_escape_ms,collision_resolution_ms,motion_exchange_ms,motion_filter_ms,graph_backtrack_ms,coordination_total_ms,deadlock_state_update_internal_ms,profiled_step_wall_ms,step_process_cpu_ms,step_process_cpu_utilisation_percent,timed_components_sum_ms,unattributed_step_ms,recording_and_output_overhead_ms,control_step_wall_excluding_output_ms,process_rss_bytes,process_peak_rss_bytes,python_tracemalloc_current_bytes,python_tracemalloc_peak_bytes,gpu_memory_allocated_bytes,gpu_memory_reserved_bytes,gpu_peak_memory_allocated_bytes,gpu_peak_memory_reserved_bytes,gpu_power_watts,gpu_utilisation_percent,gpu_memory_utilisation_percent,gpu_temperature_c,policy_inference_per_robot_ms
80,LiteDARE-Full-ContactAware,8003122,8,none,1,0.7230245231607629,0.09114441416893737,15921,2007,72.51596069335938,72.51596069335938,0,0,0,0,0,0,False,0,False,False,4.0,4.0,4.0,0,0,1,0,0,0,0,8,[],False,7538.811550009996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.610341016203165,0,0,0,0,0,0,0,8.434406947344542,0.7544583640992641,359.6773771569133,182.33721191063523,5441.3434099406,50.14545889571309,4.837439861148596,1023.5614436678588,0.39566168561577797,1.1830930598080158,0.623924657702446,2.384847030043602,462.75358414277434,0.014889054000377655,0.07636798545718193,0.023845117539167404,3.8499217480421066,0.0,0.0,0.0,4.7305068001151085,0.3929310478270054,7538.811550009996,7925.670185999479,105.13155997365355,7538.432317320257,0.3792326897382736,465.7623558305204,7073.049194179475,3212230656,4009119744,4410585,41115411,68226048,213909504,94060544,213909504,,,,,680.167926242575
80,LiteDARE-Full-ContactAware,8003122,8,none,2,0.7991825613079019,0.07615803814713895,17598,1677,74.88539695739746,147.40135765075684,0,0,0,0,0,0,False,0,False,False,4.0,4.0,4.0,0,0,1,0,0,0,0,8,[],False,8420.376900117844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6060885973274708,0,0,0,0,0,0,0,8.49186023697257,0.6956011056900024,941.7207739315927,235.7944999821484,5589.621231425554,59.42954495549202,5.150566343218088,1097.655071876943,0.4532318562269211,1.2367693707346916,0.6738672964274883,2.443827223032713,476.6269498504698,0.015109311789274216,0.0762399286031723,0.024206005036830902,3.8482388481497765,0.0,0.0,0.0,5.048268008977175,0.4503498785197735,8420.376900117844,8808.93073999323,104.61444712611316,8419.993795454502,0.3831046633422375,479.74464436993003,7940.632255747914,3212230656,4009119744,6937929,43651334,68226048,213909504,94060544,213909504,,,,,698.7026539281942
80,LiteDARE-Full-ContactAware,8003122,8,none,3,0.8366030881017257,0.037420526793823794,18422,824,73.46023273468018,220.861590385437,0,0,0,0,0,0,False,0,False,False,4.0,4.0,4.0,0,0,1,0,0,0,0,8,[],False,8750.618653837591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5974240377545357,0,0,0,0,0,0,0,8.686434011906385,0.7327096536755562,994.2921102046967,249.47944981977344,5820.233034901321,78.23621900752187,5.889042746275663,1105.5334699340165,0.42246002703905106,1.1986461468040943,0.6251228041946888,2.363777719438076,482.5413739308715,0.019480939954519272,0.08891476318240166,0.026236288249492645,4.305369220674038,0.0,0.0,0.0,5.7716467417776585,0.41953427717089653,8750.618653837591,9148.81168899592,104.55045581244362,8750.233850907534,0.3848029300570488,485.53027445450425,8265.088379383087,3212230656,4009119744,9181752,45890479,68226048,213909504,94060544,213909504,,,,,727.5291293626651
80,LiteDARE-Full-ContactAware,8003122,8,none,4,0.8696639418710264,0.03306085376930068,19150,728,63.80337858200073,284.66496896743774,0,0,0,0,0,0,False,0,False,False,12.649110794067383,12.649110794067383,12.649110794067383,0,0,2,0,0,0,0,8,[],False,8748.82945138961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6737687401473522,0,0,0,0,0,0,0,8.366821333765984,0.6820741109549999,1154.4932289980352,273.9800871349871,5614.303572103381,84.03340401127934,5.75623195618391,1129.472150001675,0.4827273078262806,1.3478812761604786,0.6838017143309116,2.753353677690029,472.0696331933141,0.01908000558614731,0.08332682773470879,0.025417190045118332,4.079022910445929,0.0,0.0,0.0,5.645317025482655,0.47912634909152985,8748.82945138961,9136.531087002368,104.43146866408712,8748.424966819584,0.4044845700263977,475.506788585335,8273.322662804276,3212230656,4009119744,11555974,48265700,68226048,213909504,94060544,213909504,,,,,701.7879465129226
80,LiteDARE-Full-ContactAware,8003122,8,none,5,0.907811080835604,0.038147138964577665,19990,840,57.91483449935913,342.5798034667969,0,0,0,0,0,0,False,0,False,False,8.0,12.0,12.0,0,0,0,0,0,0,0,8,[],False,8361.447751987725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5483074821531773,0,0,0,0,0,0,0,8.191279135644436,0.6678421050310135,987.8652733750641,357.014752458781,5328.523040283471,95.37156717851758,5.525329150259495,1060.9721499495208,0.4384680651128292,1.2349323369562626,0.6379010155797005,2.671540714800358,511.92503375932574,0.01659570261836052,0.08155079558491707,0.02450728788971901,4.063216038048267,0.0,0.0,0.0,5.400415975600481,0.4352140240371227,8361.447751987725,8756.773811997846,104.72796185225388,8361.039109528065,0.4086424596607685,515.2344754897058,7846.21327649802,3212230656,4009119744,13716924,50431388,68226048,213909504,94060544,213909504,,,,,666.0653800354339
80,LiteDARE-Full-ContactAware,8003122,8,none,6,0.9151680290644868,0.007356948228882776,20152,162,61.8885440826416,404.4683475494385,0,0,0,0,0,0,False,0,False,False,5.656854152679443,5.656854152679443,5.656854152679443,0,0,1,0,0,0,0,8,[],False,8240.171941928566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7030960880219936,0,0,0,0,0,0,0,8.626871276646852,0.71322126314044,862.7330716699362,183.964682277292,5506.932284682989,89.83841771259904,5.432404112070799,1077.9371750541031,0.4929136484861374,1.3895928859710693,0.6358129903674126,2.7149668894708157,498.32582706585526,0.021064653992652893,0.0916430726647377,0.025760382413864136,3.965978976339102,0.0,0.0,0.0,5.3137969225645065,0.48919860273599625,8240.171941928566,8638.355374001549,104.83222237204666,8239.737241528928,0.4347003996372223,501.6766069456935,7738.495334982872,3212230656,4009119744,15892706,52604074,68226048,213909504,94060544,213909504,,,,,688.3665355853736
80,LiteDARE-Full-ContactAware,8003122,8,none,7,0.9742506811989101,0.05908265213442332,21453,1301,63.80337858200073,468.2717261314392,0,0,0,0,0,0,False,0,False,False,4.0,4.0,4.0,0,0,2,0,0,0,0,8,[],False,8652.054470032454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5188027173280716,0,0,0,0,0,0,0,8.471223060041666,0.6894487887620926,918.1351270526648,313.17604798823595,5743.873421102762,105.88382929563522,5.948758218437433,1060.0821538828313,0.4688412882387638,1.1692158877849579,0.6318599916994572,2.629081252962351,490.4747670516372,0.023453962057828903,0.10393979027867317,0.02874387428164482,4.203564953058958,0.0,0.0,0.0,5.823761224746704,0.4659709520637989,8652.054470032454,9043.825143991853,104.52806527416523,8651.633774861693,0.4206951707601547,493.735708296299,8158.318761736155,3212230656,4009119744,18099864,54812722,68226048,213909504,94060544,213909504,,,,,717.9841776378453
80,LiteDARE-Full-ContactAware,8003122,8,none,8,0.9973660308810173,0.023115349682107156,21962,509,67.7770881652832,536.0488142967224,0,0,0,0,0,0,False,0,False,False,4.0,4.0,4.0,0,0,1,0,0,0,0,8,[],False,8963.63550517708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.723957248032093,0,0,0,0,0,0,0,8.69123823940754,0.8472651243209839,1094.3398121744394,358.1904820166528,5812.920656055212,101.13020660355687,5.17427921295166,1084.195920266211,0.45081600546836853,1.2325290590524673,0.6292681209743023,2.4262298829853535,493.0222099646926,0.01659523695707321,0.07744086906313896,0.02377200871706009,3.818830940872431,0.0,0.0,0.0,5.066874902695417,0.4475112073123455,8963.63550517708,9354.550459000166,104.36112059216715,8963.250912725925,0.3845924511551857,496.07770796865225,8467.557797208428,3212230656,4009119744,20343699,57054641,68226048,213909504,94060544,213909504,,,,,726.6150820069015
