episode,method,seed,team_size,communication_mode,step,coverage,coverage_delta,known_free_cells,newly_explored_free_cells,step_path_length,cumulative_team_path_length,waiting_robots,deadlocked_robots,deadlock_recoveries,preferred_vertex_conflicts,preferred_swap_conflicts,preferred_proximity_conflicts,preferred_conflict_step,actual_collision_pairs,actual_collision_step,conflict_avoided_step,minimum_preferred_pairwise_distance,minimum_proposed_pairwise_distance,minimum_actual_pairwise_distance,dynamic_safety_blocks,static_safety_blocks,contact_pairs,communication_packets_delta,communication_bytes_delta,map_packets_delta,map_bytes_delta,resolver_backtracking_nodes,escape_robot_ids,used_serial_fallback,step_runtime_ms,communication_payload_bytes_delta,communication_map_packets_delta,communication_region_packets_delta,communication_motion_packets_delta,communication_map_bytes_delta,communication_region_bytes_delta,communication_motion_bytes_delta,communication_payload_cells_delta,communication_cells_received_delta,communication_encode_ms_delta,communication_decode_apply_ms_delta,communication_exchange_wall_ms_delta,communication_delivery_events_delta,communication_conflicts_delta,communication_local_map_sync_ms_delta,communication_header_bytes_delta,communication_index_bytes_delta,communication_value_bytes_delta,communication_raw_equivalent_bytes_delta,communication_dense_grid_reference_bytes_delta,communication_deferred_cells_delta,communication_packet_losses_delta,contact_detection_ms,map_local_sync_and_exchange_ms,observation_graph_refresh_ms,dynamic_region_update_ms,policy_inference_team_ms,candidate_generation_ms,motion_coordination_facade_ms,environment_step_ms,deadlock_state_update_ms,post_step_local_map_sync_ms,region_event_io_ms,metric_state_snapshot_ms,visualization_frame_ms,preferred_action_selection_ms,deadlock_priority_ms,deadlock_escape_ms,collision_resolution_ms,motion_exchange_ms,motion_filter_ms,graph_backtrack_ms,coordination_total_ms,deadlock_state_update_internal_ms,profiled_step_wall_ms,step_process_cpu_ms,step_process_cpu_utilisation_percent,timed_components_sum_ms,unattributed_step_ms,recording_and_output_overhead_ms,control_step_wall_excluding_output_ms,process_rss_bytes,process_peak_rss_bytes,python_tracemalloc_current_bytes,python_tracemalloc_peak_bytes,gpu_memory_allocated_bytes,gpu_memory_reserved_bytes,gpu_peak_memory_allocated_bytes,gpu_peak_memory_reserved_bytes,gpu_power_watts,gpu_utilisation_percent,gpu_memory_utilisation_percent,gpu_temperature_c,policy_inference_per_robot_ms,debug_diagnostics_ms
12,LiteDARE-Full-ContactAware,1202082,4,raw,1,0.33223368752157734,0.10000383597376192,8661,2607,33.8885440826416,33.8885440826416,0,0,0,0,0,0,False,0,False,False,29.120439529418945,29.120439529418945,29.120439529418945,0,0,0,0,0,0,0,4,[],False,3804.3451020494103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9660259820520878,0,0,0,0,0,0,0,2.322475891560316,0.40535861626267433,229.34699105098844,118.29148512333632,2561.187135986984,26.544214226305485,1.8252809531986713,536.8509851396084,0.3000670112669468,0.7299468852579594,0.42619509622454643,0.8453023619949818,324.8514891602099,0.01337612047791481,0.06714602932333946,0.020036008208990097,1.1983411386609077,0.0,0.0,0.0,1.7235511913895607,0.2964525483548641,3804.3451020494103,4181.90673198842,109.9244842360809,3803.9269275031984,0.41817454621195793,326.1229866184294,3478.222115430981,2929295360,3907686400,4548298,41257080,59853824,213909504,85688320,213909504,,,,,640.296783996746,
12,LiteDARE-Full-ContactAware,1202082,4,raw,2,0.38129579193678315,0.04906210441520581,9940,1279,30.832816123962402,64.721360206604,0,0,0,0,0,0,False,0,False,False,28.0,28.284271240234375,28.284271240234375,0,0,0,0,0,0,0,4,[],False,3872.2468372434378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8710185065865517,0,0,0,0,0,0,0,2.2835098206996918,0.3847898915410042,402.816747315228,104.5550312846899,2534.2197231948376,33.253387082368135,2.062802668660879,478.17549388855696,0.2821008674800396,0.6759278476238251,0.40857167914509773,0.8532339707016945,311.9206321425736,0.008739996701478958,0.05651172250509262,0.016217119991779327,1.27887399867177,0.0,0.0,0.0,1.9733482040464878,0.2789902500808239,3872.2468372434378,4243.837100002565,109.59624420595186,3871.8919516541064,0.3548855893313885,313.1824377924204,3559.0643994510174,2929295360,3907686400,4784765,41498830,59853824,213909504,85688320,213909504,,,,,633.5549307987094,
12,LiteDARE-Full-ContactAware,1202082,4,raw,3,0.4724385285204649,0.09114273658368177,12316,2376,35.31370830535889,100.03506851196289,0,0,0,0,0,0,False,0,False,False,25.298221588134766,25.298221588134766,25.298221588134766,0,0,0,0,0,0,0,4,[],False,3601.974294986576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818667933344841,0,0,0,0,0,0,0,2.0845429971814156,0.3727148286998272,315.2417400851846,47.06138465553522,2505.408209748566,33.21040375158191,2.080485224723816,388.74643202871084,0.266234390437603,0.6500729359686375,0.3850189968943596,0.7540900260210037,305.3734377026558,0.0107642263174057,0.06418954581022263,0.01928117126226425,1.2570396065711975,0.0,0.0,0.0,1.9837776198983192,0.2633631229400635,3601.974294986576,3972.009071992943,110.27310987536478,3601.634767372161,0.3395276144146919,306.51254672557116,3295.4617482610047,2929295360,3907686400,4909045,41621889,59853824,213909504,85688320,213909504,,,,,626.3520524371415,
12,LiteDARE-Full-ContactAware,1202082,4,raw,4,0.5497717595611646,0.07733323104069972,14332,2016,34.8328161239624,134.8678846359253,0,0,0,0,0,0,False,0,False,False,21.540658950805664,21.540658950805664,21.540658950805664,0,0,0,0,0,0,0,4,[],False,3932.8907020390034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8258004672825336,0,0,0,0,0,0,0,2.1770866587758064,0.39283884689211845,423.45532728359103,124.07210003584623,2547.366086859256,38.601174019277096,2.022372093051672,488.0174179561436,0.24640094488859177,0.6070723757147789,0.38080615922808647,0.764181837439537,304.4438580982387,0.008427072316408157,0.05374196916818619,0.017142854630947113,1.2432252988219261,0.0,0.0,0.0,1.935033593326807,0.243346206843853,3932.8907020390034,4298.078807012644,109.28548827416711,3932.5467231683433,0.3439788706600666,305.58884609490633,3627.301855944097,2929295360,3907686400,6737867,43452233,59853824,213909504,85688320,213909504,,,,,636.841521714814,
12,LiteDARE-Full-ContactAware,1202082,4,raw,5,0.6126817292569718,0.0629099696958072,15972,1640,32.0,166.8678846359253,0,0,0,0,0,0,False,0,False,False,21.540658950805664,21.540658950805664,21.540658950805664,0,0,0,0,0,0,0,4,[],False,3767.7836809307337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8598626591265202,0,0,0,0,0,0,0,2.1966611966490746,0.4399311728775501,368.39991016313434,108.35370561107993,2438.7533459812403,41.524470783770084,1.9969507120549679,506.9897980429232,0.2503800205886364,0.60297641903162,0.351788941770792,0.7553142495453358,296.81601095944643,0.009533949196338654,0.05842605605721474,0.018825754523277283,1.2280931696295738,0.0,0.0,0.0,1.9027958624064922,0.24756928905844688,3767.7836809307337,4131.845918003819,109.66250368660107,3767.4312442541122,0.3524366766214371,297.92311415076256,3469.860566779971,2929295360,3907686400,8485570,45201203,59853824,213909504,85688320,213909504,,,,,609.6883364953101,
12,LiteDARE-Full-ContactAware,1202082,4,raw,6,0.6597107675783498,0.04702903832137795,17198,1226,28.9442720413208,195.8121566772461,0,0,0,0,0,0,False,0,False,False,20.0,16.970561981201172,16.970561981201172,0,0,0,0,0,0,0,4,[],False,3768.3370700106025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7940884679555893,0,0,0,0,0,0,0,2.07710824906826,0.35490188747644424,399.73572501912713,156.36643767356873,2451.4901861548424,46.979271341115236,2.085466869175434,397.8972998447716,0.2865768037736416,0.6179902702569962,0.3617149777710438,0.8025718852877617,308.95123444497585,0.009441282600164413,0.056723132729530334,0.01820828765630722,1.2804060243070126,0.0,0.0,0.0,1.9918759353458881,0.283293891698122,3768.3370700106025,4137.16208099504,109.78747400065781,3768.0064854212105,0.3305845893919468,310.11552130803466,3458.221548702568,2929295360,3907686400,10300604,47016120,59853824,213909504,85688320,213909504,,,,,612.8725465387106,
12,LiteDARE-Full-ContactAware,1202082,4,raw,7,0.6901300395105298,0.03041927193217997,17991,793,33.8885440826416,229.7007007598877,0,0,0,0,0,0,False,0,False,False,16.0,16.0,16.0,0,0,0,0,0,0,0,4,[],False,3819.234531838447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7906756363809109,0,0,0,0,0,0,0,2.1638190373778343,0.37354929372668266,443.7091392464936,103.04896906018257,2540.6309328973293,42.94765228405595,1.8363581039011478,384.5031037926674,0.2507967874407768,0.5878489464521408,0.37786131724715233,0.7498189806938171,297.7312048897147,0.009760726243257523,0.05839904770255089,0.016535166651010513,1.1197938583791256,0.0,0.0,0.0,1.7522182315587997,0.2479548566043377,3819.234531838447,4182.680778991198,109.51620656241295,3818.911054637283,0.32347720116376877,298.8588851876557,3520.375646650791,2929295360,3907686400,10468130,47183924,59853824,213909504,85688320,213909504,,,,,635.1577332243323,
12,LiteDARE-Full-ContactAware,1202082,4,raw,8,0.7007173270934827,0.010587287582952909,18267,276,34.8328161239624,264.5335168838501,0,0,0,0,0,0,False,0,False,False,8.9442720413208,8.9442720413208,8.9442720413208,0,0,0,0,0,0,0,4,[],False,4094.779063947499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7711849175393581,0,0,0,0,0,0,0,2.1363929845392704,0.35698292776942253,505.85446786135435,144.0196828916669,2594.4949770346284,49.5726871304214,1.9687861204147339,499.94412576779723,0.27196668088436127,0.5894065834581852,0.3464859910309315,0.7335701957345009,294.17124995961785,0.012984033674001694,0.05417875945568085,0.017644837498664856,1.2053819373250008,0.0,0.0,0.0,1.8809172324836254,0.2679848112165928,4094.779063947499,4457.63020600134,108.86131184093828,4094.4607821293175,0.3182818181812763,295.2513061463833,3799.5277578011155,2929295360,3907686400,12288257,49003075,59853824,213909504,85688320,213909504,,,,,648.6237442586571,
12,LiteDARE-Full-ContactAware,1202082,4,raw,9,0.7377344738961985,0.03701714680271584,19232,965,33.8885440826416,298.4220609664917,0,0,0,0,0,0,False,0,False,False,5.656854152679443,5.656854152679443,5.656854152679443,0,0,1,5,73968,2,73968,4,[],False,4332.976022735238,74212,2,1,2,73968,100,144,14768,14768,0.5397512577474117,0.6737327203154564,1.464392989873886,4,0,0.7871896959841251,128,59072,14768,73968,500128,0,0,2.1468447521328926,1.9283462315797806,673.5074906609952,273.90555618330836,2525.1350910402834,58.65816678851843,4.717679228633642,492.0200449414551,0.28738006949424744,0.6038579158484936,0.34090783447027206,0.7720049470663071,298.5914349555969,0.00876234844326973,0.05629425868391991,0.01764995977282524,1.2065502814948559,0.05615083500742912,2.6630833745002747,0.0,4.627288784831762,0.28394628316164017,4332.976022735238,4709.73765400413,108.69521615840969,4332.614805549383,0.3612171858549118,299.7043477371335,4033.2716749981046,2929295360,3907686400,14549025,51265531,57760768,213909504,85688320,213909504,,,,,631.2837727600709,
12,LiteDARE-Full-ContactAware,1202082,4,raw,10,0.7811193371437339,0.04338486324753543,20363,1131,34.8328161239624,333.2548770904541,0,0,0,0,0,0,False,0,False,False,8.9442720413208,8.9442720413208,8.9442720413208,0,0,1,4,87143,2,87143,4,[],False,4796.294488944113,87287,2,0,2,87143,0,144,17403,17403,0.541261862963438,0.7995679043233395,1.6189590096473694,4,0,0.8098338730633259,128,69612,17403,87143,500128,0,0,2.1215728484094143,2.081550657749176,691.503677982837,583.0645896494389,2541.8878230266273,76.58595219254494,5.043399054557085,591.1274431273341,0.2366979606449604,0.6197039037942886,0.34534698352217674,0.8170129731297493,298.4162690117955,0.009752810001373291,0.05874503403902054,0.018541701138019562,1.2757070362567902,0.056371092796325684,2.890263218432665,0.0,4.9424562603235245,0.23346580564975739,4796.294488944113,5163.677578006173,107.65972752317252,4795.939606614411,0.3548823297023773,301.6671962104738,4494.6272927336395,2929295360,3907686400,16895451,53611828,57760768,213909504,85688320,213909504,,,,,635.4719557566568,2.088567242026329
