episode,method,seed,team_size,communication_mode,step,coverage,coverage_delta,known_free_cells,newly_explored_free_cells,step_path_length,cumulative_team_path_length,waiting_robots,deadlocked_robots,deadlock_recoveries,preferred_vertex_conflicts,preferred_swap_conflicts,preferred_proximity_conflicts,preferred_conflict_step,actual_collision_pairs,actual_collision_step,conflict_avoided_step,minimum_preferred_pairwise_distance,minimum_proposed_pairwise_distance,minimum_actual_pairwise_distance,dynamic_safety_blocks,static_safety_blocks,contact_pairs,communication_packets_delta,communication_bytes_delta,map_packets_delta,map_bytes_delta,resolver_backtracking_nodes,escape_robot_ids,used_serial_fallback,step_runtime_ms,communication_payload_bytes_delta,communication_map_packets_delta,communication_region_packets_delta,communication_motion_packets_delta,communication_map_bytes_delta,communication_region_bytes_delta,communication_motion_bytes_delta,communication_payload_cells_delta,communication_cells_received_delta,communication_encode_ms_delta,communication_decode_apply_ms_delta,communication_exchange_wall_ms_delta,communication_delivery_events_delta,communication_conflicts_delta,communication_local_map_sync_ms_delta,communication_header_bytes_delta,communication_index_bytes_delta,communication_value_bytes_delta,communication_raw_equivalent_bytes_delta,communication_dense_grid_reference_bytes_delta,communication_deferred_cells_delta,communication_packet_losses_delta
0,LiteDARE-Map-Region,1122,8,compressed,1,0.7382376573520222,0.07387733238103744,16538,1655,64.48967027664185,64.48967027664185,0,0,0,0,0,0,False,0,False,False,4.0,4.0,4.0,0,0,0,0,0,0,0,0,[],False,3790.080456994474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2660999782383442,0,0,0,0,0,0,0
0,LiteDARE-Map-Region,1122,8,compressed,2,0.8528702794393358,0.11463262208731362,19106,2568,70.14652442932129,134.63619470596313,0,0,0,0,0,0,False,0,False,False,8.9442720413208,8.9442720413208,8.9442720413208,0,0,1,2,25858,2,25858,0,[],False,3409.489227924496,25858,2,0,0,25858,0,0,5146,5146,0.3965413197875023,0.2520885318517685,0.7432419806718826,2,0,1.3391440734267235,128,20584,5146,25858,500128,0,0
0,LiteDARE-Map-Region,1122,8,compressed,3,0.9131327560039282,0.06026247656459238,20456,1350,59.7770881652832,194.41328287124634,1,0,0,1,0,1,True,0,False,True,0.0,0.0,5.656854152679443,0,1,1,3,1188,2,1188,0,[],False,4208.420238923281,1288,2,1,0,1188,100,0,212,212,0.30582351610064507,0.0954638235270977,0.43080514296889305,2,0,1.2807436287403107,128,848,212,32278,500128,0,0
0,LiteDARE-Map-Region,1122,8,compressed,4,0.9450495491473976,0.0319167931434694,21171,715,67.7770881652832,262.19037103652954,0,0,0,0,0,0,False,0,False,False,4.0,4.0,4.0,0,0,3,8,104769,6,104769,0,[],False,3542.3779180273414,104969,6,2,0,104769,200,0,20877,20877,1.040133647620678,0.6772479973733425,1.9932081922888756,6,0,1.245755236595869,384,83508,20877,137969,1500384,0,0
0,LiteDARE-Map-Region,1122,8,compressed,5,0.989242031961432,0.04419248281403443,22161,990,64.48967027664185,326.6800413131714,0,0,0,0,0,0,False,0,False,False,4.0,4.0,4.0,0,0,4,8,80492,8,80492,0,[],False,3567.972206044942,80492,8,0,0,80492,0,0,15996,15996,1.2607020325958729,0.9455550462007523,2.4435180239379406,8,0,1.2625646777451038,512,63984,15996,246932,2000512,0,0
