episode,method,seed,team_size,communication_mode,step,coverage,coverage_delta,known_free_cells,newly_explored_free_cells,step_path_length,cumulative_team_path_length,waiting_robots,deadlocked_robots,deadlock_recoveries,preferred_vertex_conflicts,preferred_swap_conflicts,preferred_proximity_conflicts,preferred_conflict_step,actual_collision_pairs,actual_collision_step,conflict_avoided_step,minimum_preferred_pairwise_distance,minimum_proposed_pairwise_distance,minimum_actual_pairwise_distance,dynamic_safety_blocks,static_safety_blocks,contact_pairs,communication_packets_delta,communication_bytes_delta,map_packets_delta,map_bytes_delta,resolver_backtracking_nodes,escape_robot_ids,used_serial_fallback,step_runtime_ms,communication_payload_bytes_delta,communication_map_packets_delta,communication_region_packets_delta,communication_motion_packets_delta,communication_map_bytes_delta,communication_region_bytes_delta,communication_motion_bytes_delta,communication_payload_cells_delta,communication_cells_received_delta,communication_encode_ms_delta,communication_decode_apply_ms_delta,communication_exchange_wall_ms_delta,communication_delivery_events_delta,communication_conflicts_delta,communication_local_map_sync_ms_delta,communication_header_bytes_delta,communication_index_bytes_delta,communication_value_bytes_delta,communication_raw_equivalent_bytes_delta,communication_dense_grid_reference_bytes_delta,communication_deferred_cells_delta
87,LiteDARE-Full-ContactAware,8700122,8,compressed,1,0.767454954954955,0.1697418572418573,17719,3919,73.46023273468018,73.46023273468018,0,0,0,0,0,0,False,0,False,False,12.649110794067383,12.649110794067383,12.649110794067383,0,0,1,4,25603,2,25603,8,[],False,3087.959017138928,25747,2,0,2,25603,0,144,5095,5095,0.10657636448740959,0.15337998047471046,0.3142980858683586,4,0,1.0985564440488815,128,20380,5095,25603,500128,0
87,LiteDARE-Full-ContactAware,8700122,8,compressed,2,0.8509615384615384,0.08350658350658346,19647,1928,67.7770881652832,141.23732089996338,0,0,0,0,0,0,False,0,False,False,4.0,4.0,4.0,0,0,0,0,0,0,0,8,[],False,3148.6252173781395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.906617846339941,0,0,0,0,0,0
87,LiteDARE-Full-ContactAware,8700122,8,compressed,3,0.8881670131670132,0.03720547470547475,20506,859,61.20225238800049,202.43957328796387,0,0,0,1,0,1,True,0,False,True,0.0,4.0,4.0,0,0,2,9,74931,4,74931,9,[],False,3251.3541751541197,75319,4,1,4,74931,100,288,14935,14935,0.17699692398309708,0.352444127202034,0.6414088420569897,8,0,0.9156386367976665,256,59740,14935,74931,1000256,0
87,LiteDARE-Full-ContactAware,8700122,8,compressed,4,0.9406185031185031,0.05245148995148996,21717,1211,70.14652442932129,272.58609771728516,0,0,0,0,0,0,False,0,False,False,8.9442720413208,8.9442720413208,8.9442720413208,0,0,1,4,47898,2,47898,8,[],False,3191.865012049675,48042,2,0,2,47898,0,144,9554,9554,0.10342337191104889,0.20269490778446198,0.3728354349732399,4,0,0.865311361849308,128,38216,9554,47898,500128,0
87,LiteDARE-Full-ContactAware,8700122,8,compressed,5,0.975528413028413,0.03490990990990983,22523,806,63.545398235321045,336.1314959526062,0,0,0,0,0,0,False,0,False,False,8.9442720413208,8.9442720413208,8.9442720413208,0,0,1,4,60093,2,60093,8,[],False,3243.8407009467483,60237,2,0,2,60093,0,144,11993,11993,0.10244455188512802,0.31876424327492714,0.49833953380584717,4,0,0.8378447964787483,128,47972,11993,60093,500128,0
87,LiteDARE-Full-ContactAware,8700122,8,compressed,6,0.9909476784476784,0.015419265419265415,22879,356,63.545398235321045,399.67689418792725,0,0,0,0,0,0,False,0,False,False,14.422204971313477,16.0,16.0,0,0,1,4,54998,2,54998,8,[],False,3224.7387850657105,55142,2,0,2,54998,0,144,10974,10974,0.11317897588014603,0.3372412174940109,0.5256482400000095,4,0,0.9093922562897205,128,43896,10974,54998,500128,0
