episode,method,seed,team_size,communication_mode,step,coverage,coverage_delta,known_free_cells,newly_explored_free_cells,step_path_length,cumulative_team_path_length,waiting_robots,deadlocked_robots,deadlock_recoveries,preferred_vertex_conflicts,preferred_swap_conflicts,preferred_proximity_conflicts,preferred_conflict_step,actual_collision_pairs,actual_collision_step,conflict_avoided_step,minimum_preferred_pairwise_distance,minimum_proposed_pairwise_distance,minimum_actual_pairwise_distance,dynamic_safety_blocks,static_safety_blocks,contact_pairs,communication_packets_delta,communication_bytes_delta,map_packets_delta,map_bytes_delta,resolver_backtracking_nodes,escape_robot_ids,used_serial_fallback,step_runtime_ms,communication_payload_bytes_delta,communication_map_packets_delta,communication_region_packets_delta,communication_motion_packets_delta,communication_map_bytes_delta,communication_region_bytes_delta,communication_motion_bytes_delta,communication_payload_cells_delta,communication_cells_received_delta,communication_encode_ms_delta,communication_decode_apply_ms_delta,communication_exchange_wall_ms_delta,communication_delivery_events_delta,communication_conflicts_delta,communication_local_map_sync_ms_delta,communication_header_bytes_delta,communication_index_bytes_delta,communication_value_bytes_delta,communication_raw_equivalent_bytes_delta,communication_dense_grid_reference_bytes_delta,communication_deferred_cells_delta,communication_packet_losses_delta
51,LiteDARE-Full-ContactAware,5100062,2,compressed,1,0.15830822623088364,0.013271805041760426,4151,348,19.313708305358887,19.313708305358887,0,0,0,0,0,0,False,0,False,False,43.08131790161133,43.08131790161133,43.08131790161133,0,0,0,0,0,0,0,2,[],False,890.6415719538927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3665708936750889,0,0,0,0,0,0,0
51,LiteDARE-Full-ContactAware,5100062,2,compressed,2,0.19755158079402005,0.03924335456313641,5180,1029,12.0,31.313708305358887,0,0,0,0,0,0,False,0,False,False,44.72135925292969,44.72135925292969,44.72135925292969,0,0,0,0,0,0,0,2,[],False,829.1921489872038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35217730328440666,0,0,0,0,0,0,0
51,LiteDARE-Full-ContactAware,5100062,2,compressed,3,0.2828267419244117,0.08527516113039166,7416,2236,16.0,47.31370830535889,0,0,0,0,0,0,False,0,False,False,44.72135925292969,44.72135925292969,44.72135925292969,0,0,0,0,0,0,0,2,[],False,846.7379659414291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41650235652923584,0,0,0,0,0,0,0
51,LiteDARE-Full-ContactAware,5100062,2,compressed,4,0.2993783608558026,0.0165516189313909,7850,434,13.656854152679443,60.97056245803833,0,0,0,0,0,0,False,0,False,False,57.27128601074219,57.27128601074219,57.27128601074219,0,0,0,0,0,0,0,2,[],False,838.2063382305205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38501014932990074,0,0,0,0,0,0,0
51,LiteDARE-Full-ContactAware,5100062,2,compressed,5,0.3227184317913123,0.023340070935509716,8462,612,16.9442720413208,77.91483449935913,0,0,0,0,0,0,False,0,False,False,48.66210174560547,48.66210174560547,48.66210174560547,0,0,0,0,0,0,0,2,[],False,832.6469580642879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396158080548048,0,0,0,0,0,0,0
51,LiteDARE-Full-ContactAware,5100062,2,compressed,6,0.3471263491094924,0.024407917318180095,9102,640,16.0,93.91483449935913,0,0,0,0,0,0,False,0,False,False,40.0,40.0,40.0,0,0,0,0,0,0,0,2,[],False,802.9248188249767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3690258599817753,0,0,0,0,0,0,0
51,LiteDARE-Full-ContactAware,5100062,2,compressed,7,0.37565310247511535,0.028526753365622937,9850,748,16.9442720413208,110.85910654067993,0,0,0,0,0,0,False,0,False,False,49.47726821899414,49.47726821899414,49.47726821899414,0,0,0,0,0,0,0,2,[],False,868.3173712342978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3581652417778969,0,0,0,0,0,0,0
51,LiteDARE-Full-ContactAware,5100062,2,compressed,8,0.38995461652873653,0.014301514053621178,10225,375,20.257980346679688,131.11708688735962,0,0,0,0,0,0,False,0,False,False,53.66563034057617,53.66563034057617,53.66563034057617,0,0,0,0,0,0,0,2,[],False,862.345318775624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32076239585876465,0,0,0,0,0,0,0
51,LiteDARE-Full-ContactAware,5100062,2,compressed,9,0.4500209755539453,0.06006635902520879,11800,1575,16.0,147.11708688735962,0,0,0,0,0,0,False,0,False,False,53.66563034057617,53.66563034057617,53.66563034057617,0,0,0,0,0,0,0,2,[],False,952.1043221466243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37175416946411133,0,0,0,0,0,0,0
51,LiteDARE-Full-ContactAware,5100062,2,compressed,10,0.48945501697113003,0.039434041417184706,12834,1034,16.0,163.11708688735962,0,0,0,0,0,0,False,0,False,False,64.49806213378906,64.49806213378906,64.49806213378906,0,0,0,0,0,0,0,2,[],False,910.5029902420938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36142533645033836,0,0,0,0,0,0,0
51,LiteDARE-Full-ContactAware,5100062,2,compressed,11,0.5924640555280118,0.10300903855688182,15535,2701,20.257980346679688,183.3750672340393,0,0,0,0,0,0,False,0,False,False,68.0,68.0,68.0,0,0,0,0,0,0,0,2,[],False,837.891586124897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43252622708678246,0,0,0,0,0,0,0
