descriptor,team_size,communication_mode,stratum,metric,n,mean,median
map_obstacle_ratio,2,raw,medium,coverage_auc,132,0.6803025837316845,0.6808606579765946
map_obstacle_ratio,2,raw,medium,mean_robot_map_free_iou,132,0.887529133400872,0.9225988052364174
map_obstacle_ratio,2,raw,medium,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,2,raw,medium,steps_to_95_conditional,132,42.86363636363637,41.5
map_obstacle_ratio,2,raw,medium,map_payload_kib,132,601.391904888731,347.79638671875
map_obstacle_ratio,2,raw,medium,map_payload_kib_per_robot,132,300.6959524443655,173.898193359375
map_obstacle_ratio,2,raw,medium,communication_packets_recorded,132,17.28030303030303,10.0
map_obstacle_ratio,2,raw,medium,packets_per_robot,132,8.640151515151516,5.0
map_obstacle_ratio,2,raw,medium,map_retransmission_packets,132,0.0,0.0
map_obstacle_ratio,2,raw,medium,retransmission_rate,119,0.0,0.0
map_obstacle_ratio,2,raw,high,final_coverage,132,0.9973469806545112,0.9987212845092881
map_obstacle_ratio,2,raw,high,coverage_auc,132,0.6832540505608585,0.6801829876461849
map_obstacle_ratio,2,raw,high,mean_robot_map_free_iou,132,0.8578800823300479,0.9097325523334585
map_obstacle_ratio,2,raw,high,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,2,raw,high,steps_to_95_conditional,132,37.99242424242424,38.0
map_obstacle_ratio,2,raw,high,map_payload_kib,132,462.8814290364583,287.1611328125
map_obstacle_ratio,2,raw,high,map_payload_kib_per_robot,132,231.44071451822916,143.58056640625
map_obstacle_ratio,2,raw,high,communication_packets_recorded,132,14.378787878787879,10.0
map_obstacle_ratio,2,raw,high,packets_per_robot,132,7.1893939393939394,5.0
map_obstacle_ratio,2,raw,high,map_retransmission_packets,132,0.0,0.0
map_obstacle_ratio,2,raw,high,retransmission_rate,112,0.0,0.0
map_obstacle_ratio,4,compressed,low,final_coverage,136,0.9974070348447187,0.9985052646759474
map_obstacle_ratio,4,compressed,low,coverage_auc,136,0.7483607453559675,0.7491071492097165
map_obstacle_ratio,4,compressed,low,mean_robot_map_free_iou,136,0.7506845179492891,0.7898710605140004
map_obstacle_ratio,4,compressed,low,reached_95_rate,136,1.0,1.0
map_obstacle_ratio,4,compressed,low,steps_to_95_conditional,136,22.448529411764707,20.5
map_obstacle_ratio,4,compressed,low,map_payload_kib,136,519.9911606732537,465.68505859375
map_obstacle_ratio,4,compressed,low,map_payload_kib_per_robot,136,129.99779016831343,116.4212646484375
map_obstacle_ratio,4,compressed,low,communication_packets_recorded,136,60.97794117647059,50.5
map_obstacle_ratio,4,compressed,low,packets_per_robot,136,15.244485294117647,12.625
map_obstacle_ratio,4,compressed,low,map_retransmission_packets,112,0.0,0.0
map_obstacle_ratio,4,compressed,low,retransmission_rate,112,0.0,0.0
map_obstacle_ratio,4,compressed,medium,final_coverage,132,0.9975989598828141,0.9988481430959604
map_obstacle_ratio,4,compressed,medium,coverage_auc,132,0.7531668227177359,0.7503824752908093
map_obstacle_ratio,4,compressed,medium,mean_robot_map_free_iou,132,0.7519807903495509,0.7733614976163714
map_obstacle_ratio,4,compressed,medium,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,4,compressed,medium,steps_to_95_conditional,132,23.363636363636363,22.0
map_obstacle_ratio,4,compressed,medium,map_payload_kib,132,469.04703036221593,422.94775390625
map_obstacle_ratio,4,compressed,medium,map_payload_kib_per_robot,132,117.26175759055398,105.7369384765625
map_obstacle_ratio,4,compressed,medium,communication_packets_recorded,132,61.09090909090909,48.5
map_obstacle_ratio,4,compressed,medium,packets_per_robot,132,15.272727272727273,12.125
map_obstacle_ratio,4,compressed,medium,map_retransmission_packets,104,0.0,0.0
map_obstacle_ratio,4,compressed,medium,retransmission_rate,104,0.0,0.0
map_obstacle_ratio,4,compressed,high,final_coverage,132,0.9967862602905395,0.9982087811380489
map_obstacle_ratio,4,compressed,high,coverage_auc,132,0.7471354604686113,0.7488598410282588
map_obstacle_ratio,4,compressed,high,mean_robot_map_free_iou,132,0.7284168391047452,0.7623974354271564
map_obstacle_ratio,4,compressed,high,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,4,compressed,high,steps_to_95_conditional,132,21.204545454545453,20.0
map_obstacle_ratio,4,compressed,high,map_payload_kib,132,432.2448360558712,399.3447265625
map_obstacle_ratio,4,compressed,high,map_payload_kib_per_robot,132,108.0612090139678,99.836181640625
map_obstacle_ratio,4,compressed,high,communication_packets_recorded,132,59.29545454545455,46.5
map_obstacle_ratio,4,compressed,high,packets_per_robot,132,14.823863636363637,11.625
map_obstacle_ratio,4,compressed,high,map_retransmission_packets,90,0.0,0.0
map_obstacle_ratio,4,compressed,high,retransmission_rate,89,0.0,0.0
map_obstacle_ratio,4,none,low,final_coverage,136,0.9972233831472234,0.9982242345836657
map_obstacle_ratio,4,none,low,coverage_auc,136,0.7793233556355927,0.7795347002790776
map_obstacle_ratio,4,none,low,mean_robot_map_free_iou,136,0.7195295729703107,0.7309606226740519
map_obstacle_ratio,4,none,low,reached_95_rate,136,1.0,1.0
map_obstacle_ratio,4,none,low,steps_to_95_conditional,136,37.56617647058823,37.0
map_obstacle_ratio,4,none,low,map_payload_kib,136,0.0,0.0
map_obstacle_ratio,4,none,low,map_payload_kib_per_robot,136,0.0,0.0
map_obstacle_ratio,4,none,low,communication_packets_recorded,136,0.0,0.0
map_obstacle_ratio,4,none,low,packets_per_robot,136,0.0,0.0
map_obstacle_ratio,4,none,low,map_retransmission_packets,136,0.0,0.0
map_obstacle_ratio,4,none,medium,final_coverage,132,0.9977871915003741,0.9992499519671596
map_obstacle_ratio,4,none,medium,coverage_auc,132,0.7864170663146096,0.7943691710325934
map_obstacle_ratio,4,none,medium,mean_robot_map_free_iou,132,0.7092017025452896,0.7250254820400175
map_obstacle_ratio,4,none,medium,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,4,none,medium,steps_to_95_conditional,132,38.871212121212125,37.0
map_obstacle_ratio,4,none,medium,map_payload_kib,132,0.0,0.0
map_obstacle_ratio,4,none,medium,map_payload_kib_per_robot,132,0.0,0.0
map_obstacle_ratio,4,none,medium,communication_packets_recorded,132,0.0,0.0
map_obstacle_ratio,4,none,medium,packets_per_robot,132,0.0,0.0
map_obstacle_ratio,4,none,medium,map_retransmission_packets,132,0.0,0.0
map_obstacle_ratio,4,none,high,final_coverage,132,0.9968226356554781,0.9978349151439629
map_obstacle_ratio,4,none,high,coverage_auc,132,0.7801270184864033,0.7850414428404064
