team_size,communication_mode,metric,n,p10,median,p90,iqr
6,compressed,map_payload_kib,400,210.598828125,695.08056640625,1671.5158203125006,783.960693359375
6,compressed,map_payload_kib_per_robot,400,35.099804687500004,115.84676106770834,278.58597005208344,130.66011555989584
6,compressed,communication_packets_recorded,400,25.900000000000006,81.0,189.0,86.25
6,compressed,packets_per_robot,400,4.316666666666667,13.5,31.5,14.375000000000002
6,compressed,map_retransmission_packets,306,0.0,0.0,0.0,0.0
6,compressed,retransmission_rate,305,0.0,0.0,0.0,0.0
6,none,final_coverage,400,0.9918979510069768,0.9988145513817884,1.0,0.004674441312355948
6,none,coverage_auc,400,0.7560040401376829,0.827397102823693,0.8980093787903076,0.07948594624373406
6,none,mean_robot_map_free_iou,400,0.3494881444379184,0.5670433637550403,0.8520235639890628,0.3340183316451109
6,none,reached_95_rate,400,1.0,1.0,1.0,0.0
6,none,steps_to_95_conditional,400,10.900000000000006,22.0,51.10000000000002,20.0
6,none,map_payload_kib,400,0.0,0.0,0.0,0.0
6,none,map_payload_kib_per_robot,400,0.0,0.0,0.0,0.0
6,none,communication_packets_recorded,400,0.0,0.0,0.0,0.0
6,none,packets_per_robot,400,0.0,0.0,0.0,0.0
6,none,map_retransmission_packets,400,0.0,0.0,0.0,0.0
6,raw,final_coverage,400,0.9921391850297309,0.9988111695029853,1.0,0.005026365226368235
6,raw,coverage_auc,400,0.7476184450901106,0.8031535918487531,0.8555146229129359,0.057440285995762896
6,raw,mean_robot_map_free_iou,400,0.40029951213160675,0.6837678487187655,0.8919033422353548,0.29662120975459694
6,raw,reached_95_rate,400,1.0,1.0,1.0,0.0
6,raw,steps_to_95_conditional,400,8.900000000000006,14.0,23.0,7.0
6,raw,map_payload_kib,400,368.93046875,2026.0859375,6635.708984375003,3303.047607421875
6,raw,map_payload_kib_per_robot,400,61.48841145833333,337.68098958333337,1105.951497395834,550.5079345703125
6,raw,communication_packets_recorded,400,25.900000000000006,81.0,189.0,86.25
6,raw,packets_per_robot,400,4.316666666666667,13.5,31.5,14.375000000000002
6,raw,map_retransmission_packets,400,0.0,0.0,0.0,0.0
6,raw,retransmission_rate,399,0.0,0.0,0.0,0.0
8,compressed,final_coverage,400,0.9922045883916369,0.9989756759815307,1.0,0.005039338879187727
8,compressed,coverage_auc,400,0.7836585560360305,0.8416248517238809,0.8882688319306508,0.05711843124726079
8,compressed,mean_robot_map_free_iou,400,0.3315301450077369,0.5850682309785032,0.8472698013718082,0.3004591562082928
