episode,method,seed,team_size,communication_mode,step,coverage,coverage_delta,known_free_cells,newly_explored_free_cells,step_path_length,cumulative_team_path_length,waiting_robots,deadlocked_robots,deadlock_recoveries,preferred_vertex_conflicts,preferred_swap_conflicts,preferred_proximity_conflicts,preferred_conflict_step,actual_collision_pairs,actual_collision_step,conflict_avoided_step,minimum_preferred_pairwise_distance,minimum_proposed_pairwise_distance,minimum_actual_pairwise_distance,dynamic_safety_blocks,static_safety_blocks,contact_pairs,communication_packets_delta,communication_bytes_delta,map_packets_delta,map_bytes_delta,resolver_backtracking_nodes,escape_robot_ids,used_serial_fallback,step_runtime_ms,communication_payload_bytes_delta,communication_map_packets_delta,communication_region_packets_delta,communication_motion_packets_delta,communication_map_bytes_delta,communication_region_bytes_delta,communication_motion_bytes_delta,communication_payload_cells_delta,communication_cells_received_delta,communication_encode_ms_delta,communication_decode_apply_ms_delta,communication_exchange_wall_ms_delta,communication_delivery_events_delta,communication_conflicts_delta,communication_local_map_sync_ms_delta,communication_header_bytes_delta,communication_index_bytes_delta,communication_value_bytes_delta,communication_raw_equivalent_bytes_delta,communication_dense_grid_reference_bytes_delta,communication_deferred_cells_delta
76,LiteDARE-Full-ContactAware,7603102,6,compressed,1,0.5365968463167804,0.10453440025103944,13680,2665,49.20225238800049,49.20225238800049,0,0,0,0,0,0,False,0,False,False,20.0,20.0,20.0,0,0,0,0,0,0,0,6,[],False,2002.1144282072783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7020668126642704,0,0,0,0,0,0
76,LiteDARE-Full-ContactAware,7603102,6,compressed,2,0.6226955362045972,0.08609868988781677,15875,2195,50.8328161239624,100.03506851196289,0,0,0,0,0,0,False,0,False,False,17.8885440826416,17.8885440826416,17.8885440826416,0,0,0,0,0,0,0,6,[],False,2265.5862914398313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6248941645026207,0,0,0,0,0,0
76,LiteDARE-Full-ContactAware,7603102,6,compressed,3,0.6382678277241703,0.015572291519573178,16272,397,45.8885440826416,145.9236125946045,0,0,0,0,0,0,False,0,False,False,4.0,4.0,4.0,0,0,0,0,0,0,0,6,[],False,2203.094754368067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641257967799902,0,0,0,0,0,0
76,LiteDARE-Full-ContactAware,7603102,6,compressed,4,0.6383462775555032,7.844983133287187e-05,16274,2,49.91483449935913,195.83844709396362,0,0,0,1,0,1,True,0,False,True,0.0,4.0,4.0,0,0,1,4,47298,2,47298,7,[],False,2214.8715439252555,47442,2,0,2,47298,0,144,9434,9434,0.08572312071919441,0.1932010054588318,0.33977627754211426,4,0,0.5882498808205128,128,37736,9434,47298,500128,0
76,LiteDARE-Full-ContactAware,7603102,6,compressed,5,0.6484663057974426,0.01012002824193936,16532,258,44.9442720413208,240.78271913528442,0,0,0,0,0,0,False,0,False,False,5.656854152679443,5.656854152679443,5.656854152679443,0,0,2,12,54551,4,54551,6,[],False,2224.1127798333764,55239,4,4,4,54551,400,288,10859,10859,0.1478460617363453,0.25574443861842155,0.4830574616789818,8,0,0.5578342825174332,256,43436,10859,125121,1000256,0
76,LiteDARE-Full-ContactAware,7603102,6,compressed,6,0.7221306974190006,0.07366439162155802,18410,1878,47.545398235321045,288.32811737060547,0,0,0,0,0,0,False,0,False,False,8.9442720413208,8.9442720413208,8.9442720413208,0,0,4,23,144592,8,144592,6,[],False,2269.815748091787,145868,8,7,8,144592,700,576,28816,28816,0.3003268502652645,0.6967266090214252,1.1763181537389755,16,0,0.5919509567320347,512,115264,28816,295392,2000512,0
76,LiteDARE-Full-ContactAware,7603102,6,compressed,7,0.8053659684631678,0.08323527104416717,20532,2122,48.489670276641846,336.8177876472473,0,0,0,0,0,0,False,0,False,False,8.0,12.0,12.0,0,0,1,5,143,2,143,6,[],False,2356.875894125551,387,2,1,2,143,100,144,3,3,0.06573228165507317,0.0531892292201519,0.14301063492894173,4,0,0.6295912899076939,128,12,3,76343,500128,0
76,LiteDARE-Full-ContactAware,7603102,6,compressed,8,0.8421589393582803,0.036792970895112576,21470,938,48.97056245803833,385.78835010528564,0,0,0,0,0,0,False,0,False,False,12.0,12.0,12.0,0,0,1,5,973,2,973,6,[],False,2140.0332651101053,1217,2,1,2,973,100,144,169,169,0.058264005929231644,0.04921667277812958,0.13257190585136414,4,0,0.6104903295636177,128,676,169,77203,500128,0
76,LiteDARE-Full-ContactAware,7603102,6,compressed,9,0.9284537538244293,0.08629481446614895,23670,2200,49.8885440826416,435.67689418792725,0,0,0,0,0,0,False,0,False,False,16.970561981201172,14.422204971313477,14.422204971313477,0,0,1,6,2083,2,2083,6,[],False,2231.8295589648187,2427,2,2,2,2083,200,144,391,391,0.06586546078324318,0.058986712247133255,0.1504938118159771,4,0,0.6092581897974014,128,1564,391,80003,500128,0
76,LiteDARE-Full-ContactAware,7603102,6,compressed,10,0.9430846473680081,0.014630893543578827,24043,373,40.489670276641846,476.1665644645691,0,0,0,0,0,0,False,0,False,False,12.0,12.0,12.0,0,0,0,0,0,0,0,6,[],False,2341.2208217196167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6421208381652832,0,0,0,0,0,0
