Scope,AUC none,AUC raw=compressed,Map IoU none,Map IoU raw=compressed
Overall,0.7924128681632467,0.7674504097101628,0.6616334347202041,0.7157031167159469
N=2,0.6988832343114333,0.680119608476852,0.8619385503680058,0.8712744691768914
N=4,0.7819294889004358,0.7495424068725236,0.7062257768026126,0.743763953822676
N=6,0.8268392924988166,0.8007773311491362,0.5839518407325797,0.6616144867861635
N=8,0.8619994569423011,0.8393622923421392,0.49441757097761807,0.5861595570780566
