scope,team_size,communication_mode,metric,n,mean,ci_low,ci_high
N=4,4.0,none,coverage_auc,400,0.7819294889004358,0.7756898793546598,0.7881193281578303
N=4,4.0,none,final_coverage,400,0.997277193231487,0.9969661333584701,0.9975623814418878
N=4,4.0,none,map_payload_kib,400,0.0,0.0,0.0
N=4,4.0,none,map_payload_kib_per_robot,400,0.0,0.0,0.0
N=4,4.0,none,map_retransmission_packets,400,0.0,0.0,0.0
N=4,4.0,none,mean_robot_map_free_iou,400,0.7062257768026126,0.6889987188255946,0.7231918366145262
N=4,4.0,none,packets_per_robot,400,0.0,0.0,0.0
N=4,4.0,none,reached_95_rate,400,1.0,1.0,1.0
N=4,4.0,none,retransmission_rate,0,,,
N=4,4.0,none,steps_to_95_conditional,400,36.43,34.8449375,38.0600625
N=4,4.0,raw,communication_packets_recorded,400,60.46,55.90725,65.13525
N=4,4.0,raw,coverage_auc,400,0.7495424068725236,0.7443400104795868,0.7548195908429085
N=4,4.0,raw,final_coverage,400,0.9972655145044109,0.9969556552884593,0.9975730813385305
N=4,4.0,raw,map_payload_kib,400,1938.2947705078125,1747.0547777709962,2136.341276245117
N=4,4.0,raw,map_payload_kib_per_robot,400,484.5736926269531,438.74299954223636,534.0509358367921
N=4,4.0,raw,map_retransmission_packets,400,0.0,0.0,0.0
N=4,4.0,raw,mean_robot_map_free_iou,400,0.743763953822676,0.7288505357528507,0.7589546484923319
N=4,4.0,raw,packets_per_robot,400,15.115,13.985578125,16.326296875
N=4,4.0,raw,reached_95_rate,400,1.0,1.0,1.0
N=4,4.0,raw,retransmission_rate,399,0.0,0.0,0.0
N=4,4.0,raw,steps_to_95_conditional,400,22.34,21.5974375,23.135
N=6,6.0,compressed,communication_packets_recorded,400,97.8975,91.451625,104.6355
N=6,6.0,compressed,coverage_auc,400,0.8007773311491362,0.7965042100483649,0.8050368722804917
N=6,6.0,compressed,final_coverage,400,0.9973519456859137,0.9970617524946873,0.9976404022274796
N=6,6.0,compressed,map_payload_kib,400,830.6422143554687,775.7317981567383,889.3833834838866
N=6,6.0,compressed,map_payload_kib_per_robot,400,138.44036905924477,129.70245959472655,147.8431248474121
N=6,6.0,compressed,map_retransmission_packets,306,0.0,0.0,0.0
N=6,6.0,compressed,mean_robot_map_free_iou,400,0.6616144867861635,0.6437992261079033,0.6795442130922426
N=6,6.0,compressed,packets_per_robot,400,16.31625,15.184135416666665,17.478749999999998
N=6,6.0,compressed,reached_95_rate,400,1.0,1.0,1.0
N=6,6.0,compressed,retransmission_rate,305,0.0,0.0,0.0
N=6,6.0,compressed,steps_to_95_conditional,400,15.04,14.46,15.650062499999999
N=6,6.0,none,communication_packets_recorded,400,0.0,0.0,0.0
N=6,6.0,none,coverage_auc,400,0.8268392924988166,0.821789264319772,0.8319748118653766
N=6,6.0,none,final_coverage,400,0.9973300541546831,0.9970222280567295,0.9976268862899204
N=6,6.0,none,map_payload_kib,400,0.0,0.0,0.0
N=6,6.0,none,map_payload_kib_per_robot,400,0.0,0.0,0.0
N=6,6.0,none,map_retransmission_packets,400,0.0,0.0,0.0
N=6,6.0,none,mean_robot_map_free_iou,400,0.5839518407325797,0.5658703905768449,0.6026083421513302
N=6,6.0,none,packets_per_robot,400,0.0,0.0,0.0
N=6,6.0,none,reached_95_rate,400,1.0,1.0,1.0
N=6,6.0,none,retransmission_rate,0,,,
N=6,6.0,none,steps_to_95_conditional,400,25.745,24.2773125,27.2525625
N=6,6.0,raw,communication_packets_recorded,400,97.8975,91.451625,104.6355
N=6,6.0,raw,coverage_auc,400,0.8007773311491362,0.7965042100483649,0.8050368722804917
N=6,6.0,raw,final_coverage,400,0.9973519456859137,0.9970617524946873,0.9976404022274796
N=6,6.0,raw,map_payload_kib,400,2991.0153344726564,2716.037346557617,3282.1564523315424
N=6,6.0,raw,map_payload_kib_per_robot,400,498.50255574544263,452.7197369486491,546.8152786051431
N=6,6.0,raw,map_retransmission_packets,400,0.0,0.0,0.0
N=6,6.0,raw,mean_robot_map_free_iou,400,0.6616144867861635,0.6437992261079033,0.6795442130922426
N=6,6.0,raw,packets_per_robot,400,16.31625,15.184135416666665,17.478749999999998
N=6,6.0,raw,reached_95_rate,400,1.0,1.0,1.0
N=6,6.0,raw,retransmission_rate,399,0.0,0.0,0.0
N=6,6.0,raw,steps_to_95_conditional,400,15.04,14.46,15.650062499999999
N=8,8.0,compressed,communication_packets_recorded,400,125.6525,117.1399375,134.42325
N=8,8.0,compressed,coverage_auc,400,0.8393622923421392,0.8354282680821693,0.8431281248153805
N=8,8.0,compressed,final_coverage,400,0.9973743314630618,0.9970620963201742,0.9976791889300708
N=8,8.0,compressed,map_payload_kib,400,1115.95876953125,1036.845830505371,1198.4146643676759
N=8,8.0,compressed,map_payload_kib_per_robot,400,139.49484619140625,129.63260746765138,149.6393519897461
N=8,8.0,compressed,map_retransmission_packets,306,0.0,0.0,0.0
N=8,8.0,compressed,mean_robot_map_free_iou,400,0.5861595570780566,0.5683348830156475,0.6048857976072721
N=8,8.0,compressed,packets_per_robot,400,15.7065625,14.663117187500001,16.819070312500003
N=8,8.0,compressed,reached_95_rate,400,1.0,1.0,1.0
N=8,8.0,compressed,retransmission_rate,305,0.0,0.0,0.0
N=8,8.0,compressed,steps_to_95_conditional,400,10.5925,10.15,11.047562499999998
N=8,8.0,none,communication_packets_recorded,400,0.0,0.0,0.0
N=8,8.0,none,coverage_auc,400,0.8619994569423011,0.8574724488806885,0.8663841077147346
N=8,8.0,none,final_coverage,400,0.997270909174903,0.9969395012251282,0.9975705342019244
N=8,8.0,none,map_payload_kib,400,0.0,0.0,0.0
N=8,8.0,none,map_payload_kib_per_robot,400,0.0,0.0,0.0
N=8,8.0,none,map_retransmission_packets,400,0.0,0.0,0.0
N=8,8.0,none,mean_robot_map_free_iou,400,0.49441757097761807,0.4748552604183568,0.5142531371877173
N=8,8.0,none,packets_per_robot,400,0.0,0.0,0.0
N=8,8.0,none,reached_95_rate,400,1.0,1.0,1.0
N=8,8.0,none,retransmission_rate,0,,,
N=8,8.0,none,steps_to_95_conditional,400,17.91,16.6874375,19.2175625
N=8,8.0,raw,communication_packets_recorded,400,125.6525,117.1399375,134.42325
N=8,8.0,raw,coverage_auc,400,0.8393622923421392,0.8354282680821693,0.8431281248153805
N=8,8.0,raw,final_coverage,400,0.9973743314630618,0.9970620963201742,0.9976791889300708
N=8,8.0,raw,map_payload_kib,400,3459.1074267578124,3127.6832690429687,3815.8354902954097
N=8,8.0,raw,map_payload_kib_per_robot,400,432.38842834472655,391.62679762268067,475.76865392303466
N=8,8.0,raw,map_retransmission_packets,400,0.0,0.0,0.0
N=8,8.0,raw,mean_robot_map_free_iou,400,0.5861595570780566,0.5683348830156475,0.6048857976072721
N=8,8.0,raw,packets_per_robot,400,15.7065625,14.663117187500001,16.819070312500003
N=8,8.0,raw,reached_95_rate,400,1.0,1.0,1.0
N=8,8.0,raw,retransmission_rate,399,0.0,0.0,0.0
N=8,8.0,raw,steps_to_95_conditional,400,10.5925,10.15,11.047562499999998
