scope,team_size,comparison,metric,pairs,mean_diff,ci_low,ci_high,relative_change_percent,candidate_better_raw_positive,ties,candidate_lower_raw
N=4,4.0,none - compressed,map_retransmission_packets,306,0.0,0.0,0.0,,0,306,0
N=4,4.0,raw - compressed,map_retransmission_packets,306,0.0,0.0,0.0,,0,306,0
N=6,6.0,none - compressed,map_retransmission_packets,306,0.0,0.0,0.0,,0,306,0
N=6,6.0,raw - compressed,map_retransmission_packets,306,0.0,0.0,0.0,,0,306,0
N=8,8.0,none - compressed,map_retransmission_packets,306,0.0,0.0,0.0,,0,306,0
N=8,8.0,raw - compressed,map_retransmission_packets,306,0.0,0.0,0.0,,0,306,0
Overall,,none - compressed,mean_robot_map_free_iou,1600,-0.05406968199574276,-0.062190159801487566,-0.04638587473645741,,557,66,978
Overall,,raw - compressed,mean_robot_map_free_iou,1600,0.0,0.0,0.0,,0,1600,0
N=2,2.0,none - compressed,mean_robot_map_free_iou,400,-0.009335918808885546,-0.01929647123319706,0.0008837196071504829,-1.0715244322154138,158,63,180
N=2,2.0,raw - compressed,mean_robot_map_free_iou,400,0.0,0.0,0.0,0.0,0,400,0
N=4,4.0,none - compressed,mean_robot_map_free_iou,400,-0.03753817702006337,-0.05454989220005183,-0.02062693554657778,-5.047055161403131,168,1,231
N=4,4.0,raw - compressed,mean_robot_map_free_iou,400,0.0,0.0,0.0,0.0,0,400,0
N=6,6.0,none - compressed,mean_robot_map_free_iou,400,-0.07766264605358378,-0.09511480378068557,-0.06028632101795618,-11.738353316723044,122,1,277
N=6,6.0,raw - compressed,mean_robot_map_free_iou,400,0.0,0.0,0.0,0.0,0,400,0
N=8,8.0,none - compressed,mean_robot_map_free_iou,400,-0.09174198610043835,-0.109450034407136,-0.0746374365813509,-15.651367446393344,109,1,290
N=8,8.0,raw - compressed,mean_robot_map_free_iou,400,0.0,0.0,0.0,0.0,0,400,0
Overall,,none - compressed,packets_per_robot,1600,-13.836640625000001,-14.391849609374997,-13.310294921874998,,0,59,1541
Overall,,raw - compressed,packets_per_robot,1600,0.0,0.0,0.0,,0,1600,0
N=2,2.0,none - compressed,packets_per_robot,400,-8.20875,-9.145031249999999,-7.334968750000001,-100.0,0,56,344
N=2,2.0,raw - compressed,packets_per_robot,400,0.0,0.0,0.0,0.0,0,400,0
N=4,4.0,none - compressed,packets_per_robot,400,-15.115,-16.326296875,-13.985578125000002,-100.0,0,1,399
N=4,4.0,raw - compressed,packets_per_robot,400,0.0,0.0,0.0,0.0,0,400,0
N=6,6.0,none - compressed,packets_per_robot,400,-16.31625,-17.478749999999998,-15.184135416666665,-100.0,0,1,399
N=6,6.0,raw - compressed,packets_per_robot,400,0.0,0.0,0.0,0.0,0,400,0
N=8,8.0,none - compressed,packets_per_robot,400,-15.7065625,-16.819070312500003,-14.663117187500001,-100.0,0,1,399
N=8,8.0,raw - compressed,packets_per_robot,400,0.0,0.0,0.0,0.0,0,400,0
Overall,,none - compressed,reached_95_rate,1600,0.0,0.0,0.0,,0,1600,0
Overall,,raw - compressed,reached_95_rate,1600,0.0,0.0,0.0,,0,1600,0
N=2,2.0,none - compressed,reached_95_rate,400,0.0,0.0,0.0,0.0,0,400,0
N=2,2.0,raw - compressed,reached_95_rate,400,0.0,0.0,0.0,0.0,0,400,0
N=4,4.0,none - compressed,reached_95_rate,400,0.0,0.0,0.0,0.0,0,400,0
N=4,4.0,raw - compressed,reached_95_rate,400,0.0,0.0,0.0,0.0,0,400,0
N=6,6.0,none - compressed,reached_95_rate,400,0.0,0.0,0.0,0.0,0,400,0
N=6,6.0,raw - compressed,reached_95_rate,400,0.0,0.0,0.0,0.0,0,400,0
N=8,8.0,none - compressed,reached_95_rate,400,0.0,0.0,0.0,0.0,0,400,0
N=8,8.0,raw - compressed,reached_95_rate,400,0.0,0.0,0.0,0.0,0,400,0
Overall,,none - compressed,retransmission_rate,0,,,,,0,0,0
Overall,,raw - compressed,retransmission_rate,1184,0.0,0.0,0.0,,0,1184,0
N=2,2.0,none - compressed,retransmission_rate,0,,,,,0,0,0
N=2,2.0,raw - compressed,retransmission_rate,269,0.0,0.0,0.0,,0,269,0
N=4,4.0,none - compressed,retransmission_rate,0,,,,,0,0,0
N=4,4.0,raw - compressed,retransmission_rate,305,0.0,0.0,0.0,,0,305,0
N=6,6.0,none - compressed,retransmission_rate,0,,,,,0,0,0
N=6,6.0,raw - compressed,retransmission_rate,305,0.0,0.0,0.0,,0,305,0
N=8,8.0,none - compressed,retransmission_rate,0,,,,,0,0,0
N=8,8.0,raw - compressed,retransmission_rate,305,0.0,0.0,0.0,,0,305,0
Overall,,none - compressed,steps_to_95_conditional,1600,10.797500000000001,10.18303125,11.415640625,,1215,281,104
Overall,,raw - compressed,steps_to_95_conditional,1600,0.0,0.0,0.0,,0,1600,0
N=2,2.0,none - compressed,steps_to_95_conditional,400,11.0775,9.8675,12.275062499999999,26.79770184457212,277,93,30
N=2,2.0,raw - compressed,steps_to_95_conditional,400,0.0,0.0,0.0,0.0,0,400,0
N=4,4.0,none - compressed,steps_to_95_conditional,400,14.09,12.725,15.502562499999998,63.07072515666965,329,45,26
N=4,4.0,raw - compressed,steps_to_95_conditional,400,0.0,0.0,0.0,0.0,0,400,0
N=6,6.0,none - compressed,steps_to_95_conditional,400,10.705,9.4374375,11.96,71.17686170212767,319,56,25
N=6,6.0,raw - compressed,steps_to_95_conditional,400,0.0,0.0,0.0,0.0,0,400,0
N=8,8.0,none - compressed,steps_to_95_conditional,400,7.3175,6.307375,8.38,69.0818975690347,290,87,23
N=8,8.0,raw - compressed,steps_to_95_conditional,400,0.0,0.0,0.0,0.0,0,400,0
