Scope,Raw KiB,Compressed KiB,Saved KiB,Saving (%)
Overall,2235.7859960937503,635.155283203125,1600.6307128906253,71.59140971842406
N=2,554.7264526367187,119.79683837890624,434.92961425781243,78.40434004733514
N=4,1938.2947705078125,474.223310546875,1464.0714599609375,75.5339942220123
N=6,2991.0153344726564,830.6422143554687,2160.3731201171877,72.22875440383127
N=8,3459.1074267578124,1115.95876953125,2343.148657226562,67.73853390910072
