Candidate,Delta Success,Delta Final,Delta AUC,D_L,Preserve,Downstream
LiteDARE-L4,0.01,0.0002056030720061,-0.0022313637806799,0.5127086765761911,True,False
LiteDARE-L2,0.005,0.0002756667276926,-0.0010235471424314,0.256669132015357,True,True
