episode,method,seed,team_size,communication_mode,step,coverage,coverage_delta,known_free_cells,newly_explored_free_cells,step_path_length,cumulative_team_path_length,waiting_robots,deadlocked_robots,deadlock_recoveries,preferred_vertex_conflicts,preferred_swap_conflicts,preferred_proximity_conflicts,preferred_conflict_step,actual_collision_pairs,actual_collision_step,conflict_avoided_step,minimum_preferred_pairwise_distance,minimum_proposed_pairwise_distance,minimum_actual_pairwise_distance,dynamic_safety_blocks,static_safety_blocks,contact_pairs,communication_packets_delta,communication_bytes_delta,map_packets_delta,map_bytes_delta,resolver_backtracking_nodes,escape_robot_ids,used_serial_fallback,step_runtime_ms,communication_payload_bytes_delta,communication_map_packets_delta,communication_region_packets_delta,communication_motion_packets_delta,communication_map_bytes_delta,communication_region_bytes_delta,communication_motion_bytes_delta,communication_payload_cells_delta,communication_cells_received_delta,communication_encode_ms_delta,communication_decode_apply_ms_delta,communication_exchange_wall_ms_delta,communication_delivery_events_delta,communication_conflicts_delta,communication_local_map_sync_ms_delta,communication_header_bytes_delta,communication_index_bytes_delta,communication_value_bytes_delta,communication_raw_equivalent_bytes_delta,communication_dense_grid_reference_bytes_delta,communication_deferred_cells_delta,communication_packet_losses_delta,contact_detection_ms,map_local_sync_and_exchange_ms,observation_graph_refresh_ms,dynamic_region_update_ms,policy_inference_team_ms,candidate_generation_ms,motion_coordination_facade_ms,environment_step_ms,deadlock_state_update_ms,post_step_local_map_sync_ms,region_event_io_ms,metric_state_snapshot_ms,visualization_frame_ms,preferred_action_selection_ms,deadlock_priority_ms,deadlock_escape_ms,collision_resolution_ms,motion_exchange_ms,motion_filter_ms,graph_backtrack_ms,coordination_total_ms,deadlock_state_update_internal_ms,profiled_step_wall_ms,step_process_cpu_ms,step_process_cpu_utilisation_percent,timed_components_sum_ms,unattributed_step_ms,recording_and_output_overhead_ms,control_step_wall_excluding_output_ms,process_rss_bytes,process_peak_rss_bytes,python_tracemalloc_current_bytes,python_tracemalloc_peak_bytes,gpu_memory_allocated_bytes,gpu_memory_reserved_bytes,gpu_peak_memory_allocated_bytes,gpu_peak_memory_reserved_bytes,gpu_power_watts,gpu_utilisation_percent,gpu_memory_utilisation_percent,gpu_temperature_c,policy_inference_per_robot_ms,debug_diagnostics_ms
89,LiteDARE-Full-ContactAware,8900102,6,raw,1,0.4991952172913313,0.11263125622748521,13026,2939,54.14652442932129,54.14652442932129,0,0,0,0,0,0,False,0,False,False,12.0,12.0,12.0,0,0,0,0,0,0,0,6,[],False,5283.812853973359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1858874931931496,0,0,0,0,0,0,0,5.2596949972212315,0.5582170560956001,350.31015612185,180.54194236174226,3623.6414266750216,36.557144951075315,2.8919121250510216,713.5342950932682,0.3569857217371464,0.8906149305403233,0.46492135152220726,1.477878075093031,366.96446407586336,0.012143980711698532,0.064031220972538,0.019862782210111618,2.1617012098431587,0.0,0.0,0.0,2.7966341003775597,0.3542560152709484,5283.812853973359,5655.670763982926,107.03768131624749,5283.449653536081,0.36320043727755547,368.9072635024786,4914.90559047088,2907979776,4009119744,3757510,40465421,64039936,213909504,89874432,213909504,,,,,603.9402377791703,
89,LiteDARE-Full-ContactAware,8900102,6,raw,2,0.5956924963593163,0.096497279067985,15544,2518,57.460232734680176,111.60675716400146,0,0,0,0,0,0,False,0,False,False,14.422204971313477,14.422204971313477,14.422204971313477,0,0,1,5,26258,2,26258,6,[],False,5990.745414979756,26500,2,1,2,26258,98,144,5226,5226,0.4630335606634617,0.45362627133727074,1.0720528662204742,4,0,1.1888458393514156,128,20904,5226,26258,500128,0,0,5.2021159790456295,1.676302868872881,784.163667820394,248.52419132366776,3762.8409904427826,51.904380321502686,7.111179176717997,748.1870031915605,0.34955283626914024,0.9528081864118576,0.4973737522959709,1.514490693807602,377.4742758832872,0.011621974408626556,0.06287265568971634,0.01939292997121811,2.3606247268617153,0.05251402035355568,3.579160198569298,0.0,7.022449746727943,0.3469078801572323,5990.745414979756,6365.6927999982145,106.25877681399896,5990.398332476616,0.3470825031399727,379.48614032939076,5611.259274650365,2907979776,4009119744,6264203,42974068,61946880,213909504,89874432,213909504,,,,,627.1401650737971,
89,LiteDARE-Full-ContactAware,8900102,6,raw,3,0.6345903272783016,0.03889783091898524,16559,1015,43.31370830535889,154.92046546936035,0,0,0,0,0,0,False,0,False,False,12.0,12.0,12.0,0,0,0,0,0,0,0,6,[],False,5911.918342113495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1141598224639893,0,0,0,0,0,0,0,5.347520112991333,0.5083982832729816,686.6691210307181,223.01609441637993,3793.386199977249,60.87414873763919,3.562532365322113,771.8076258897781,0.3187130205333233,0.8503138087689877,0.4518837668001652,1.3634511269629002,363.43343602493405,0.011445954442024231,0.06319582462310791,0.019679777324199677,2.4146749638020992,0.0,0.0,0.0,3.469809889793396,0.31579378992319107,5911.918342113495,6282.996179012116,106.27677541239451,5911.58943856135,0.32890355214476585,365.2487709186971,5546.669571194798,2907979776,4009119744,8347611,45058564,64039936,213909504,89874432,213909504,,,,,632.2310333295414,
89,LiteDARE-Full-ContactAware,8900102,6,raw,4,0.6889706445926267,0.05438031731432513,17978,1419,44.9442720413208,199.86473751068115,0,0,0,0,0,0,False,0,False,False,16.0,16.0,16.0,0,0,1,5,44793,2,44793,6,[],False,6400.521667674184,45037,2,1,2,44793,100,144,8933,8933,0.48375315964221954,0.579379964619875,1.2544747442007065,4,0,1.07931112870574,128,35732,8933,44793,500128,0,0,5.35437511280179,1.8509807996451855,931.3006331212819,374.0537650883198,3849.807129241526,76.01819187402725,7.201735861599445,776.434491854161,0.3544059582054615,0.8343840017914772,0.46384939923882484,1.395894680172205,375.10561384260654,0.016516074538230896,0.07618870586156845,0.020678620785474777,2.318162936717272,0.057513825595378876,3.639205824583769,0.0,7.099337875843048,0.3514820709824562,6400.521667674184,6777.695745986421,105.89286464284862,6400.175450835377,0.3462168388068676,376.9653579220176,6023.556309752166,2907979776,4009119744,10898296,47616016,61946880,213909504,89874432,213909504,,,,,641.6345215402544,
89,LiteDARE-Full-ContactAware,8900102,6,raw,5,0.7175979152295547,0.02862727063692805,18725,747,47.7770881652832,247.64182567596436,0,0,0,0,0,0,False,0,False,False,11.313708305358887,11.313708305358887,11.313708305358887,0,0,0,0,0,0,0,6,[],False,5943.149506114423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.125904731452465,0,0,0,0,0,0,0,5.105425138026476,0.5319449119269848,854.8632268793881,265.5762918293476,3617.34807677567,77.2419162094593,3.373011015355587,745.5342928878963,0.3491281531751156,0.8376520127058029,0.45282579958438873,1.363786868751049,370.20379211753607,0.011648982763290405,0.06552692502737045,0.020053237676620483,2.299907151609659,0.0,0.0,0.0,3.2756254076957703,0.34644128754734993,5943.149506114423,6318.769730016356,106.32022168574909,5942.781370598823,0.3681355156004429,372.0204047858715,5571.129101328552,2907979776,4009119744,12955116,49666091,64039936,213909504,89874432,213909504,,,,,602.8913461292783,
89,LiteDARE-Full-ContactAware,8900102,6,raw,6,0.784663140951943,0.06706522572238827,20475,1750,41.65685415267944,289.2986798286438,0,0,0,0,0,0,False,0,False,False,16.0,16.0,16.0,0,0,0,0,0,0,0,6,[],False,5851.092305965722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1067166924476624,0,0,0,0,0,0,0,5.15808304771781,0.5349339917302132,707.2127899155021,276.51290502399206,3650.561394635588,82.12045626714826,3.6119259893894196,742.5759211182594,0.3494475968182087,0.8022729307413101,0.4154401831328869,1.405948307365179,379.4689499773085,0.013833865523338318,0.06888573989272118,0.021073967218399048,2.4294108152389526,0.0,0.0,0.0,3.5109068267047405,0.34620892256498337,5851.092305965722,6225.731025013374,106.40288512737483,5850.730468984693,0.3618369810283184,381.2903384678066,5469.801967497915,2907979776,4009119744,14902158,51614540,64039936,213909504,89874432,213909504,,,,,608.4268991059313,
89,LiteDARE-Full-ContactAware,8900102,6,raw,7,0.7909481106767839,0.006284969724840939,20639,164,43.31370830535889,332.6123881340027,1,0,0,0,0,0,False,0,False,False,17.8885440826416,17.8885440826416,17.8885440826416,1,0,0,0,0,0,0,6,[],False,6240.618570242077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1270102113485336,0,0,0,0,0,0,0,5.41031314060092,0.5064727738499641,773.0002356693149,439.59182035177946,3817.3117376863956,87.8149108029902,3.4918589517474174,714.1959699802101,0.37533603608608246,0.8620079606771469,0.44091977179050446,1.452494878321886,395.8026058971882,0.013723038136959076,0.07093837484717369,0.020653940737247467,2.38229101523757,0.0,0.0,0.0,3.3948752097785473,0.37199538201093674,6240.618570242077,6621.845949994167,106.10880757189591,6240.256683900952,0.361886341124773,397.6960205473006,5842.9225496947765,2907979776,4009119744,17000515,53711169,64039936,213909504,89874432,213909504,,,,,636.2186229477326,
89,LiteDARE-Full-ContactAware,8900102,6,raw,8,0.8196903502720932,0.028742239595309305,21389,750,40.9442720413208,373.5566601753235,1,0,0,1,0,1,True,0,False,True,0.0,4.0,4.0,1,0,0,0,0,0,0,6,[],False,6139.914953149855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1122152209281921,0,0,0,0,0,0,0,5.369716323912144,0.5133100785315037,724.4538241066039,333.1947149708867,3860.36819498986,96.12632216885686,3.6598858423531055,748.0389759875834,0.33774180337786674,0.844850204885006,0.4135933704674244,1.4031878672540188,364.84413128346205,0.014434102922677994,0.06922893226146698,0.020837876945734024,2.486791927367449,0.0,0.0,0.0,3.5608429461717606,0.33457623794674873,6139.914953149855,6512.868887977675,106.07425245583393,6139.568448998034,0.3465041518211365,366.6609125211835,5773.254040628672,2907979776,4009119744,18924297,55641905,64039936,213909504,89874432,213909504,,,,,643.3946991649767,
89,LiteDARE-Full-ContactAware,8900102,6,raw,9,0.8634552004292174,0.04376485015712417,22531,1142,43.545398235321045,417.10205841064453,0,0,0,0,0,0,False,0,False,False,8.9442720413208,8.0,8.0,0,0,1,5,99993,2,99993,6,[],False,6110.795452259481,100237,2,1,2,99993,100,144,19973,19973,0.5599851720035076,0.7078368216753006,1.5782923437654972,4,0,1.1525703594088554,128,79892,19973,99993,500128,0,0,5.175494123250246,2.165705431252718,741.5871592238545,458.92726397141814,3690.1738569140434,100.03819037228823,7.211945950984955,729.2162589728832,0.3774850629270077,0.9114318527281284,0.4750927910208702,1.4137937687337399,372.768082190305,0.014530029147863388,0.06801960989832878,0.019786879420280457,2.3584929294884205,0.05755806341767311,3.6597209982573986,0.0,7.1147121489048,0.37445686757564545,6110.795452259481,6482.799452991458,106.087652640941,6110.44176062569,0.35369163379073143,374.6569687500596,5736.138483509421,2907979776,4009119744,21320944,58034250,61946880,213909504,89874432,213909504,,,,,615.0289761523405,
89,LiteDARE-Full-ContactAware,8900102,6,raw,10,0.9259983137886104,0.062543113359393,24163,1632,48.0,465.10205841064453,0,0,0,0,0,0,False,0,False,False,4.0,4.0,4.0,0,0,1,4,80913,2,80913,6,[],False,6816.26327522099,81057,2,0,2,80913,0,144,16157,16157,0.548302661627531,0.8682487532496452,1.6657263040542603,4,0,1.232006587088108,128,64628,16157,80913,500128,0,0,5.3002918139100075,2.289404161274433,919.7408650070429,990.5297262594104,3642.9318748414516,110.61572516337037,6.482427939772606,752.5896993465722,0.3706463612616062,0.9692618623375893,0.4887040704488754,1.495402306318283,378.46780102699995,0.013533979654312134,0.06587198004126549,0.0192117877304554,2.1232799626886845,0.05576806142926216,3.2685198821127415,0.0,6.390470080077648,0.36688800901174545,6816.26327522099,7192.568842991022,105.52070177714536,6815.886212978512,0.37706224247813225,384.06629022210836,6432.196984998882,2907979776,4009119744,24113644,60827912,61946880,213909504,89874432,213909504,,,,,607.1553124735752,3.614382818341255
