episode,method,seed,team_size,communication_mode,step,coverage,coverage_delta,known_free_cells,newly_explored_free_cells,step_path_length,cumulative_team_path_length,waiting_robots,deadlocked_robots,deadlock_recoveries,preferred_vertex_conflicts,preferred_swap_conflicts,preferred_proximity_conflicts,preferred_conflict_step,actual_collision_pairs,actual_collision_step,conflict_avoided_step,minimum_preferred_pairwise_distance,minimum_proposed_pairwise_distance,minimum_actual_pairwise_distance,dynamic_safety_blocks,static_safety_blocks,contact_pairs,communication_packets_delta,communication_bytes_delta,map_packets_delta,map_bytes_delta,resolver_backtracking_nodes,escape_robot_ids,used_serial_fallback,step_runtime_ms,communication_payload_bytes_delta,communication_map_packets_delta,communication_region_packets_delta,communication_motion_packets_delta,communication_map_bytes_delta,communication_region_bytes_delta,communication_motion_bytes_delta,communication_payload_cells_delta,communication_cells_received_delta,communication_encode_ms_delta,communication_decode_apply_ms_delta,communication_exchange_wall_ms_delta,communication_delivery_events_delta,communication_conflicts_delta,communication_local_map_sync_ms_delta,communication_header_bytes_delta,communication_index_bytes_delta,communication_value_bytes_delta,communication_raw_equivalent_bytes_delta,communication_dense_grid_reference_bytes_delta,communication_deferred_cells_delta
91,LiteDARE-Full-ContactAware,9101062,2,compressed,1,0.12251241559183965,0.027796634392082603,3429,778,19.313708305358887,19.313708305358887,0,0,0,0,0,0,False,0,False,False,44.0,44.0,44.0,0,0,0,0,0,0,0,2,[],False,812.0600660331547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3533046692609787,0,0,0,0,0,0
91,LiteDARE-Full-ContactAware,9101062,2,compressed,2,0.17835578262888993,0.055843367037050284,4992,1563,12.0,31.313708305358887,0,0,0,0,0,0,False,0,False,False,52.15361785888672,52.15361785888672,52.15361785888672,0,0,0,0,0,0,0,2,[],False,808.2474777474999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26888633146882057,0,0,0,0,0,0
91,LiteDARE-Full-ContactAware,9101062,2,compressed,3,0.23984422451677445,0.06148844188788452,6713,1721,16.9442720413208,48.25798034667969,0,0,0,0,0,0,False,0,False,False,48.166378021240234,48.166378021240234,48.166378021240234,0,0,0,0,0,0,0,2,[],False,802.1558080799878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28951559215784073,0,0,0,0,0,0
91,LiteDARE-Full-ContactAware,9101062,2,compressed,4,0.29758119261138305,0.0577369680946086,8329,1616,19.313708305358887,67.57168865203857,0,0,0,0,0,0,False,0,False,False,56.14267349243164,56.14267349243164,56.14267349243164,0,0,0,0,0,0,0,2,[],False,739.9139469489455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3146659582853317,0,0,0,0,0,0
91,LiteDARE-Full-ContactAware,9101062,2,compressed,5,0.33005823716460037,0.032477044553217316,9238,909,22.627416610717773,90.19910526275635,0,0,0,0,0,0,False,0,False,False,72.11102294921875,72.11102294921875,72.11102294921875,0,0,0,0,0,0,0,2,[],False,884.8903626203537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2823788672685623,0,0,0,0,0,0
91,LiteDARE-Full-ContactAware,9101062,2,compressed,6,0.37875593983350603,0.04869770266890566,10601,1363,16.9442720413208,107.14337730407715,0,0,0,0,0,0,False,0,False,False,84.85281372070312,84.85281372070312,84.85281372070312,0,0,0,0,0,0,0,2,[],False,839.167202822864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3241514787077904,0,0,0,0,0,0
91,LiteDARE-Full-ContactAware,9101062,2,compressed,7,0.39704884061595624,0.018292900782450217,11113,512,17.8885440826416,125.03192138671875,0,0,0,0,0,0,False,0,False,False,74.72616577148438,75.89466094970703,75.89466094970703,0,0,0,0,0,0,0,2,[],False,783.9841889217496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28794119134545326,0,0,0,0,0,0
91,LiteDARE-Full-ContactAware,9101062,2,compressed,8,0.4161992211225839,0.01915038050662765,11649,536,20.257980346679688,145.28990173339844,0,0,0,0,0,0,False,0,False,False,62.60990524291992,62.60990524291992,62.60990524291992,0,0,0,0,0,0,0,2,[],False,833.7053069844842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28416886925697327,0,0,0,0,0,0
91,LiteDARE-Full-ContactAware,9101062,2,compressed,9,0.4571796062738933,0.04098038515130942,12796,1147,16.9442720413208,162.23417377471924,0,0,0,0,0,0,False,0,False,False,62.481998443603516,62.481998443603516,62.481998443603516,0,0,0,0,0,0,0,2,[],False,808.2492579706013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31128013506531715,0,0,0,0,0,0
91,LiteDARE-Full-ContactAware,9101062,2,compressed,10,0.5109507306441816,0.053771124370288303,14301,1505,16.9442720413208,179.17844581604004,0,0,0,0,0,0,False,0,False,False,60.0,60.0,60.0,0,0,0,0,0,0,0,2,[],False,848.4751437790692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3180708736181259,0,0,0,0,0,0
